**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,X,Y,Z,is_r_min,is_r_max,is_lift,oos_r_min,oos_r_max,oos_lift,sign_match,oos_sign_flip,survives
1h,z_se_w,reversion_prob_w,body,-0.7626835386447767,0.7818309897606285,1.5445145284054052,-0.7321709189425556,0.7467311328522527,1.4789020517948082,True,True,True
1h,z_se_w,reversion_prob_w,price_velocity_1b,-0.7590627391029919,0.7844987084160254,1.5435614475190174,-0.7778204736111234,0.7461984343216631,1.5240189079327866,True,True,True
15m,z_se_w,reversion_prob_w,price_velocity_1b,-0.7704740767448824,0.7728364118921807,1.5433104886370632,-0.7733847461099985,0.7591256782018427,1.5325104243118413,True,True,True
15m,z_se_w,reversion_prob_w,body,-0.7700822024859296,0.7649096610084327,1.5349918634943625,-0.7508886501002691,0.7563257298282976,1.5072143799285667,True,True,True
15m,bar_range,body,price_accel_w,-0.7760093061732651,0.7582305133386084,1.5342398195118734,-0.7723563938152387,0.727069747429332,1.4994261412445706,True,True,True
15m,z_se_w,reversion_prob_w,z_low_w,-0.8563357111702258,0.6683443683087397,1.5246800794789654,-0.8546522391622562,0.6781420166649543,1.5327942558272105,True,True,True
1m,z_se_w,reversion_prob_w,z_low_w,-0.8123659668108235,0.7073843042279495,1.519750271038773,-0.8201038884315031,0.7051363363644192,1.5252402247959223,True,True,True
1m,z_se_w,reversion_prob_w,z_high_w,-0.7242008809192019,0.79067604684032,1.5148769277595218,-0.7290174372944702,0.8257663621066187,1.554783799401089,True,True,True
1h,bar_range,body,price_accel_1b,-0.7906797689024134,0.7218783850110746,1.512558153913488,-0.7149765551544894,0.5316566332999675,1.246633188454457,True,True,True
5s,price_velocity_1b,bar_range,body,-0.7735303173643864,0.7215560721339865,1.4950863894983728,-0.7595570907279258,0.7711332201253073,1.530690310853233,True,True,True
1h,z_se_w,reversion_prob_w,z_low_w,-0.851658751416352,0.641038675267131,1.492697426683483,-0.8388169364901258,0.6060272216795182,1.4448441581696438,True,True,True
15m,z_se_w,reversion_prob_w,z_high_w,-0.6466121592527811,0.8429986815166103,1.489610840769391,-0.7380773847265459,0.8557028369850619,1.593780221711608,True,True,True
1h,vol_velocity_1b,vol_velocity_w,vol_accel_w,-0.6739709019674313,0.793503272901146,1.4674741748685771,-0.6903025611109851,0.7872360103020781,1.477538571413063,True,True,True
1m,bar_range,body,price_accel_w,-0.7393433490073665,0.715680498622946,1.4550238476303126,-0.6506459703815546,0.6799520096807685,1.330597980062323,True,True,True
1m,price_velocity_1b,bar_range,price_accel_w,-0.7387574221484814,0.7136623103331111,1.4524197324815926,-0.6449631351936476,0.6744991182415919,1.3194622534352396,True,True,True
5m,bar_range,body,price_accel_w,-0.7366530750763509,0.7086248436634113,1.4452779187397622,-0.6718169545939306,0.6770504073849498,1.3488673619788805,True,True,True
5s,vol_velocity_1b,vol_sigma_w,vol_accel_1b,-0.5234784199385993,0.9213848774496048,1.444863297388204,-0.5008850655756703,0.731328922269489,1.2322139878451592,True,True,True
15m,price_velocity_1b,bar_range,price_accel_w,-0.7696770471758325,0.6745577354857878,1.4442347826616202,-0.7907960851514566,0.6972058082707329,1.4880018934221895,True,True,True
1h,price_velocity_1b,bar_range,price_accel_1b,-0.7807518470215209,0.6485666647223471,1.429318511743868,-0.7346140277453286,0.49402490563570484,1.2286389333810335,True,True,True
5s,vol_velocity_1b,vol_sigma_w,vol_accel_w,-0.4662004285985753,0.9423705703411852,1.4085709989397606,-0.49755651424026265,0.7882009369188047,1.2857574511590673,True,True,True
15m,bar_range,body,price_accel_1b,-0.7089676735340629,0.6808615487718527,1.3898292223059157,-0.6755408363353977,0.6269567175632973,1.3024975538986951,True,True,True
1h,z_se_w,reversion_prob_w,price_accel_w,-0.6676060633101517,0.7192808642800229,1.3868869275901743,-0.6323432545250843,0.6501725168252586,1.2825157713503428,True,True,True
5m,price_velocity_1b,bar_range,price_accel_w,-0.7365553116282534,0.6485528372452588,1.3851081488735122,-0.6802383819404684,0.6728628203635815,1.3531012023040498,True,True,True
5m,z_se_w,reversion_prob_w,price_accel_w,-0.6561133116045302,0.7065034112122174,1.3626167228167476,-0.6566221591411279,0.6715229406698808,1.3281450998110087,True,True,True
5s,vol_accel_w,vol_sigma_w,vol_velocity_1b,-0.4455950425213706,0.9123943418419708,1.3579893843633413,-0.3484728196927279,0.7222125704492381,1.070685390141966,True,True,True
5m,bar_range,body,price_accel_1b,-0.6936986420257505,0.6602329730262346,1.3539316150519851,-0.5939249287196741,0.612995215664585,1.206920144384259,True,True,True
1m,z_se_w,reversion_prob_w,body,-0.6752194972350596,0.670187352628176,1.3454068498632354,-0.6728215101482523,0.6795188724479485,1.3523403825962008,True,True,True
1m,z_se_w,reversion_prob_w,price_velocity_1b,-0.6739919589149822,0.6703323338563836,1.3443242927713657,-0.6732193762038997,0.6787903979746067,1.3520097741785064,True,True,True
5m,bar_range,price_accel_w,z_se_w,-0.6783276639060893,0.6554751082411179,1.3338027721472072,-0.5940569751572108,0.5951679029875999,1.1892248781448107,True,True,True
5s,vol_accel_w,vol_sigma_w,vol_accel_1b,-0.4428289386115701,0.8856676233982608,1.328496562009831,-0.3487922365179314,0.6237860320492149,0.9725782685671462,True,True,True
15m,price_velocity_1b,bar_range,price_accel_1b,-0.7114352723239078,0.6057443369854257,1.3171796093093335,-0.6953715001592646,0.6003101458673525,1.2956816460266172,True,True,True
15m,z_se_w,reversion_prob_w,price_accel_w,-0.6376504280274071,0.6767154859784634,1.3143659140058706,-0.6767565629357286,0.6657938940369763,1.342550456972705,True,True,True
5s,z_se_w,reversion_prob_w,price_accel_w,-0.6353787460059946,0.6784281172147841,1.3138068632207789,-0.6369420820333137,0.6634597572813128,1.3004018393146266,True,True,True
5s,z_low_w,reversion_prob_w,price_velocity_1b,-0.548743515467804,0.7622672991624779,1.311010814630282,-0.5433564929761211,0.7646260071512518,1.3079825001273728,True,True,True
15m,vol_velocity_w,vol_sigma_w,bar_range,-0.7354083321213882,0.5712169793407289,1.3066253114621171,-0.7482158946500618,0.6047792082317802,1.352995102881842,True,True,True
1h,price_velocity_1b,reversion_prob_w,z_low_w,-0.6473746021838628,0.6570226381046365,1.3043972402884991,-0.7194597698423261,0.7133621418801761,1.432821911722502,True,True,True
5m,price_velocity_1b,bar_range,price_accel_1b,-0.6969655031593676,0.6046095962740574,1.301575099433425,-0.6085072995922804,0.6079356061652357,1.2164429057575161,True,True,True
5s,bar_range,body,price_accel_1b,-0.6937186614124655,0.6070137933379586,1.300732454750424,-0.7072755037299466,0.6278855157201587,1.3351610194501053,True,True,True
5s,vol_velocity_1b,vol_mean_w,vol_accel_1b,-0.4467224889375788,0.846106029724168,1.292828518661747,-0.47974995532280984,0.548102335360172,1.027852290682982,True,True,True
5s,z_high_w,reversion_prob_w,price_velocity_1b,-0.7340812340554231,0.5557674805877958,1.289848714643219,-0.7404497015566011,0.5754384611406598,1.3158881626972607,True,True,True
5m,z_low_w,reversion_prob_w,price_velocity_1b,-0.5120776435766271,0.7637323594291965,1.2758100030058237,-0.5278580111305107,0.7481811901262292,1.2760392012567399,True,True,True
1m,bar_range,body,price_accel_1b,-0.6735532670802221,0.5988066687085536,1.2723599357887756,-0.5827759123496343,0.6343758901670808,1.2171518025167152,True,True,True
5m,z_high_w,reversion_prob_w,price_velocity_1b,-0.7429016836340593,0.5264871239888044,1.2693888076228637,-0.7477137679700946,0.5196907773930528,1.2674045453631475,True,True,True
5s,z_se_w,reversion_prob_w,price_accel_1b,-0.612791026923089,0.6546157584679752,1.267406785391064,-0.6098365540461604,0.6286538547544276,1.2384904088005881,True,True,True
1m,bar_range,price_accel_w,z_se_w,-0.6135302959538563,0.6528458965068694,1.2663761924607255,-0.5296565947339201,0.5285348865554289,1.0581914812893491,True,True,True
5s,z_low_w,reversion_prob_w,body,-0.5350478312675149,0.7312393037254237,1.2662871349929383,-0.531950460922064,0.7343121447224603,1.2662626056445243,True,True,True
5s,vol_accel_1b,vol_sigma_w,vol_velocity_1b,-0.3600566335733864,0.9039734649539782,1.2640300985273647,-0.29020326706664895,0.7900352759232018,1.0802385429898507,True,True,True
1m,price_velocity_1b,bar_range,price_accel_1b,-0.6703055611727905,0.5933537449268433,1.2636593060996335,-0.5509333593029103,0.6279553056849804,1.1788886649878907,True,True,True
5m,z_low_w,reversion_prob_w,body,-0.5048122687200611,0.7581019083134714,1.2629141770335326,-0.5197327350836873,0.7478122515745032,1.2675449866581905,True,True,True
5m,z_high_w,reversion_prob_w,body,-0.7375349143068071,0.5209708499481633,1.2585057642549704,-0.7374033458489077,0.5186045162741452,1.2560078621230528,True,True,True
15m,z_high_w,reversion_prob_w,body,-0.70488062749859,0.5455474222774124,1.2504280497760023,-0.6938621233453498,0.5210372519771531,1.2148993753225028,True,True,True
15m,z_high_w,reversion_prob_w,price_velocity_1b,-0.7027906983043818,0.541415734684831,1.2442064329892126,-0.7057189276867626,0.52501783045173,1.2307367581384927,True,True,True
5m,z_se_w,reversion_prob_w,price_accel_1b,-0.613933814034764,0.6284275544258633,1.2423613684606272,-0.6067969415778879,0.5776821624449693,1.184479104022857,True,True,True
5s,z_high_w,reversion_prob_w,body,-0.6962052675830284,0.5427589281430009,1.2389641957260291,-0.707664498774754,0.555517041825609,1.263181540600363,True,True,True
1h,z_se_w,reversion_prob_w,z_high_w,-0.3849022021636927,0.8529306001627915,1.2378328023264842,-0.5145247161248909,0.8518988997838339,1.3664236159087249,True,True,True
5s,vol_velocity_1b,vol_mean_w,vol_accel_w,-0.3804229350593251,0.8570501247325605,1.2374730597918857,-0.4223398900004815,0.5642333966770741,0.9865732866775556,True,True,True
5s,vol_accel_1b,vol_sigma_w,vol_accel_w,-0.342138994264718,0.8935770087084655,1.2357160029731835,-0.26566664819260005,0.7242267474179367,0.9898933956105367,True,True,True
15m,z_low_w,reversion_prob_w,price_velocity_1b,-0.5199289102934089,0.7153075009081001,1.235236411201509,-0.4905167375891532,0.6949336447189116,1.1854503823080649,True,True,True
5s,vol_velocity_1b,vol_sigma_w,bar_range,-0.412399305315958,0.8225072738843421,1.2349065792003,-0.3863398096741078,0.4966083183562099,0.8829481280303177,True,True,True
5s,vol_velocity_1b,vol_sigma_w,vol_velocity_w,-0.3536060968104583,0.8788272538201289,1.2324333506305871,-0.3528859369098716,0.6343544862847768,0.9872404231946483,True,True,True
1h,body,reversion_prob_w,z_low_w,-0.5586309277824393,0.6730178553793563,1.2316487831617955,-0.7185077870358764,0.7144145861596888,1.4329223731955651,True,True,True
5m,vol_velocity_w,vol_sigma_w,bar_range,-0.650597137352742,0.5803390295195783,1.2309361668723202,-0.705996943347592,0.6043648377916391,1.310361781139231,True,True,True
5s,vol_accel_w,vol_mean_w,vol_velocity_1b,-0.366873924610109,0.8458353322899602,1.2127092569000693,-0.3415539161433795,0.5680869141146905,0.90964083025807,True,True,True
5s,bar_range,body,price_accel_w,-0.6602998073885696,0.5511243230787329,1.2114241304673026,-0.7276926699940468,0.6344007934554413,1.3620934634494881,True,True,True
5m,price_velocity_1b,SE_low_w,z_se_w,-0.7042093500046588,0.50188186185454,1.2060912118591989,-0.6061106550978653,0.367817540173691,0.9739281952715564,True,True,True
1h,bar_range,price_accel_w,z_se_w,-0.5804301482931393,0.6251336172504981,1.2055637655436375,-0.6611734311714234,0.5800041619063094,1.2411775930777327,True,True,True
15m,z_low_w,reversion_prob_w,body,-0.4944377356783613,0.7098327237497676,1.2042704594281288,-0.47608655059029165,0.693208441400197,1.1692949919904887,True,True,True
1h,z_low_w,reversion_prob_w,price_velocity_1b,-0.4829073714645673,0.7131979069976531,1.1961052784622204,-0.487708523043119,0.6873567521056523,1.1750652751487713,True,True,True
1h,z_high_w,reversion_prob_w,body,-0.6993400743716972,0.4967322419691924,1.1960723163408895,-0.6552542146204761,0.4518098487740336,1.1070640633945097,True,True,True
5s,vol_velocity_w,vol_mean_w,vol_velocity_1b,-0.3343951383031375,0.8598883746018555,1.1942835129049931,-0.5208851787439541,0.4764950564379841,0.9973802351819383,True,True,True
5s,vol_accel_w,vol_sigma_w,vol_velocity_w,-0.3144264037331043,0.8732396832840789,1.1876660870171831,-0.25115438416507996,0.6250874019750267,0.8762417861401066,True,True,True
