pair,tf,n_days,overall_acc,up_acc,down_acc,flat_acc,cm_up_to_up,cm_up_to_down,cm_up_to_flat,cm_down_to_up,cm_down_to_down,cm_down_to_flat,cm_flat_to_up,cm_flat_to_down,cm_flat_to_flat
bar_range__body,1h,71,0.7464788732394366,0.875,0.7333333333333333,0.7,14,0,2,0,11,4,8,4,28
price_velocity_1b__bar_range,1h,71,0.7464788732394366,0.875,0.7333333333333333,0.7,14,0,2,0,11,4,7,5,28
bar_range__body,15m,71,0.7323943661971831,0.5,0.7333333333333333,0.825,8,0,8,0,11,4,5,2,33
price_velocity_1b__bar_range,15m,71,0.7323943661971831,0.5,0.6666666666666666,0.85,8,0,8,0,10,5,4,2,34
price_velocity_w__price_sigma_w,15m,71,0.7183098591549296,0.8125,0.9333333333333333,0.6,13,1,2,0,14,1,9,7,24
price_velocity_w__price_sigma_w,5m,71,0.6901408450704225,0.75,0.7333333333333333,0.65,12,0,4,0,11,4,7,7,26
price_velocity_w__SE_high_w,15m,71,0.5633802816901409,0.4375,0.6666666666666666,0.575,7,1,8,0,10,5,10,7,23
price_velocity_w__SE_low_w,15m,71,0.5492957746478874,0.3125,0.7333333333333333,0.575,5,1,10,0,11,4,10,7,23
price_velocity_w__swing_noise_w,1h,11,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.4,2,0,1,1,2,0,1,2,2
price_velocity_w__price_sigma_w,1h,71,0.5352112676056338,0.5,0.7333333333333333,0.475,8,0,8,1,11,3,11,10,19
price_velocity_w__vol_mean_w,1h,71,0.4647887323943662,0.25,0.6666666666666666,0.475,4,1,11,1,10,4,13,8,19
price_velocity_1b__reversion_prob_w,1h,71,0.3380281690140845,0.0,0.13333333333333333,0.55,0,7,9,8,2,5,11,7,22
