**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

anchor_concept,anchor_tf,x_concept,x_tf,y_concept,y_tf,regime_2d,cell,is_n,is_mean,is_lift,is_wr,oos_n,oos_mean,oos_lift,oos_wr,oos_ci_lo,oos_ci_hi,oos_baseline,survives,reason
vol_mean_w,1h,swing_noise_w,1m,z_se_w,15m,DOWN_SMOOTH,"0,2,1",88,-88.36647727272727,-66.54660382785383,0.2727272727272727,37,-70.75675675675676,-46.89023133302794,0.2702702702702703,-103.68733108108107,-39.51993243243244,-23.866525423728813,True,survives
hurst_w,1h,bar_range,5m,z_se_w,15m,UP_SMOOTH,"2,2,2",310,85.81532258064516,65.97443257224886,0.7032258064516129,145,38.827586206896555,20.514218151340998,0.696551724137931,27.506724137931037,51.27301724137931,18.313368055555557,True,survives
vol_mean_w,1h,swing_noise_w,1m,reversion_prob_w,15m,DOWN_SMOOTH,"0,2,2",88,-87.45738636363636,-65.63751291876292,0.2954545454545454,37,-70.75675675675676,-46.89023133302794,0.2702702702702703,-103.68733108108107,-39.51993243243244,-23.866525423728813,True,survives
hurst_w,1h,swing_noise_w,1m,z_se_w,15m,UP_SMOOTH,"2,2,2",371,84.66509433962264,64.82420433122634,0.6819407008086253,155,37.89032258064516,19.576954525089604,0.6645161290322581,26.07334677419355,51.00983870967742,18.313368055555557,True,survives
hurst_w,5m,price_sigma_w,5m,reversion_prob_w,15m,DOWN_SMOOTH,"0,2,1",121,-81.5103305785124,-59.69045713363895,0.2892561983471074,54,-56.907407407407405,-33.04088198367859,0.24074074074074073,-74.65636574074072,-39.18449074074074,-23.866525423728813,True,survives
hurst_w,15m,vol_velocity_w,15m,vol_mean_w,5m,DOWN_SMOOTH,"0,0,2",183,-78.55054644808743,-56.73067300321399,0.366120218579235,21,-57.82142857142857,-33.95490314769975,0.19047619047619047,-77.50297619047619,-37.3327380952381,-23.866525423728813,True,survives
hurst_w,15m,vol_mean_w,5m,z_se_w,15m,DOWN_SMOOTH,"0,2,0",197,-77.90736040609137,-56.08748696121793,0.3197969543147208,25,-50.23,-26.363474576271184,0.2,-98.30724999999998,-6.005000000000027,-23.866525423728813,True,survives
hurst_w,15m,vol_mean_w,5m,reversion_prob_w,15m,DOWN_SMOOTH,"0,2,1",170,-77.57941176470588,-55.75953831983244,0.3235294117647059,31,-57.87096774193548,-34.00444231820667,0.0967741935483871,-70.81854838709677,-44.25544354838711,-23.866525423728813,True,survives
hurst_w,15m,swing_noise_w,1m,z_se_w,15m,DOWN_SMOOTH,"0,2,1",161,-77.527950310559,-55.70807686568556,0.3291925465838509,24,-65.9375,-42.07097457627118,0.125,-85.40625,-46.842968750000004,-23.866525423728813,True,survives
hurst_w,15m,swing_noise_w,1m,reversion_prob_w,15m,DOWN_SMOOTH,"0,2,2",161,-77.527950310559,-55.70807686568556,0.3291925465838509,24,-65.9375,-42.07097457627118,0.125,-85.40625,-46.842968750000004,-23.866525423728813,True,survives
hurst_w,5m,bar_range,5m,reversion_prob_w,15m,DOWN_SMOOTH,"0,2,1",129,-77.03294573643412,-55.21307229156067,0.3410852713178294,57,-51.81140350877193,-27.94487808504312,0.3684210526315789,-76.2391447368421,-29.124671052631594,-23.866525423728813,True,survives
vol_mean_w,1h,vol_velocity_w,15m,vol_mean_w,5m,DOWN_CHOPPY,"2,2,2",117,-68.07051282051282,-54.47354160230666,0.3076923076923077,65,-57.1,-40.5481981981982,0.3384615384615385,-81.92951923076923,-30.429711538461564,-16.5518018018018,True,survives
vol_mean_w,1h,swing_noise_w,1m,vol_velocity_w,15m,DOWN_CHOPPY,"2,2,2",125,-54.138,-40.54102878179384,0.368,86,-47.098837209302324,-30.547035407500523,0.36046511627906974,-67.08161337209302,-27.27383720930234,-16.5518018018018,True,survives
vol_mean_w,1h,bar_range,5m,vol_velocity_w,15m,DOWN_CHOPPY,"2,2,2",123,-51.6910569105691,-38.09408569236295,0.3658536585365853,82,-49.96036585365854,-33.408564051856736,0.34146341463414637,-70.7047256097561,-28.876295731707327,-16.5518018018018,True,survives
hurst_w,1h,bar_range,5m,vol_velocity_w,15m,FLAT_SMOOTH,"0,2,0",337,22.114985163204743,22.145736123382637,0.6498516320474778,23,9.66304347826087,10.091561996779388,0.5217391304347826,-5.239402173913042,24.815760869565214,-0.4285185185185185,True,survives
hurst_w,15m,vol_velocity_w,15m,vol_mean_w,5m,FLAT_CHOPPY,"1,1,2",86,21.27616279069768,21.565254742836668,0.5581395348837209,28,5.589285714285714,6.5652224067921745,0.42857142857142855,-13.468526785714278,25.76160714285713,-0.97593669250646,True,survives
vol_mean_w,1h,swing_noise_w,1m,price_velocity_1b,15m,FLAT_CHOPPY,"0,2,1",148,-21.77533783783784,-21.48624588569885,0.4054054054054054,61,-16.30327868852459,-15.327341996018129,0.47540983606557374,-39.86229508196721,7.057479508196721,-0.97593669250646,True,survives
hurst_w,1h,vol_mean_w,5m,price_velocity_1b,15m,FLAT_CHOPPY,"2,2,1",254,-19.612204724409448,-19.323112772270456,0.4291338582677165,200,-11.22125,-10.24531330749354,0.46,-21.319187499999995,-1.8296875000000017,-0.97593669250646,True,survives
hurst_w,15m,price_velocity_w,5m,vol_mean_w,5m,FLAT_SMOOTH,"0,1,2",157,-19.05254777070064,-19.02179681052275,0.445859872611465,40,-12.8125,-12.38398148148148,0.325,-26.32515625,0.3842187499999838,-0.4285185185185185,True,survives
hurst_w,1h,swing_noise_w,1m,vol_velocity_w,15m,FLAT_SMOOTH,"0,2,0",356,18.96067415730337,18.991425117481256,0.6179775280898876,22,10.443181818181818,10.871700336700338,0.5454545454545454,-4.6948863636363605,26.170454545454547,-0.4285185185185185,True,survives
hurst_w,1h,price_velocity_w,5m,vol_velocity_w,15m,FLAT_CHOPPY,"0,0,2",755,18.56523178807947,18.85432374021846,0.6370860927152318,346,9.13078034682081,10.10671703932727,0.5289017341040463,0.578721098265896,17.755942919075146,-0.97593669250646,True,survives
hurst_w,15m,vol_velocity_w,15m,z_se_w,15m,FLAT_SMOOTH,"0,2,2",327,-18.325688073394492,-18.29493711321661,0.3669724770642202,53,-7.867924528301887,-7.439406009783369,0.6037735849056604,-26.48183962264151,9.87334905660377,-0.4285185185185185,True,survives
bar_range,1h,price_velocity_w,5m,z_se_w,15m,FLAT_CHOPPY,"2,0,2",219,17.996575342465754,18.285667294604742,0.639269406392694,164,6.057926829268292,7.0338635217747525,0.5670731707317073,-4.015548780487801,16.33391768292682,-0.97593669250646,True,survives
hurst_w,1m,price_velocity_w,5m,price_velocity_1b,15m,FLAT_SMOOTH,"1,2,0",138,-17.8731884057971,-17.842437445619215,0.427536231884058,26,-15.89423076923077,-15.46571225071225,0.5,-39.25288461538461,4.740384615384615,-0.4285185185185185,True,survives
hurst_w,15m,price_sigma_w,5m,vol_velocity_w,15m,FLAT_SMOOTH,"1,2,0",379,17.75,17.780750960177887,0.6147757255936676,40,10.30625,10.73476851851852,0.6,1.999375000000001,19.70015625,-0.4285185185185185,True,survives
hurst_w,1h,price_sigma_w,5m,vol_velocity_w,15m,FLAT_SMOOTH,"0,2,0",357,16.99719887955182,17.027949839729708,0.5994397759103641,21,11.976190476190476,12.404708994708995,0.6190476190476191,-3.6666666666666665,27.30982142857143,-0.4285185185185185,True,survives
hurst_w,15m,swing_noise_w,1m,vol_velocity_w,15m,FLAT_SMOOTH,"1,2,0",402,16.893034825870647,16.923785786048533,0.6243781094527363,33,14.492424242424242,14.920942760942761,0.6060606060606061,3.951515151515157,26.53162878787878,-0.4285185185185185,True,survives
