eid,frame_idx,p_exit,prompt_tokens,tainted
2025_01_21_1737469980_S,0,0.027748,5698,N
2025_01_21_1737469980_S,1,0.076281,7862,N
2025_01_21_1737469980_S,2,0.002638,7920,N
2025_01_21_1737469980_S,3,0.006514,8682,N
2025_01_21_1737469980_S,4,0.574399,8100,N
2025_01_21_1737469980_S,5,0.542000,8180,N
2025_01_21_1737469980_S,6,0.053490,8260,N
2025_01_21_1737469980_S,7,0.002239,8313,N
2025_01_21_1737469980_S,8,0.044603,9063,N
2025_01_21_1737469980_S,9,0.012210,8491,N
2025_01_21_1737469980_S,10,0.004164,8566,N
2025_01_21_1737469980_S,11,0.067003,8651,N
2025_01_21_1737469980_S,12,0.002255,8723,N
2025_01_21_1737469980_S,13,0.071536,10185,N
2025_01_21_1737469980_S,14,0.004552,8911,N
2025_01_21_1737469980_S,15,0.003983,8970,N
2025_01_21_1737469980_S,16,0.102477,9029,N
2025_01_21_1737469980_S,17,0.199652,9091,N
2025_01_21_1737469980_S,18,0.150756,9851,N
2025_01_21_1737469980_S,19,0.015044,9285,N
2025_01_21_1737471780_S,0,0.009928,5722,N
2025_01_21_1737471780_S,1,0.029240,7890,N
2025_01_21_1737471780_S,2,0.022354,7939,N
2025_01_21_1737471780_S,3,0.335004,8716,N
2025_01_21_1737471780_S,4,0.252297,8126,N
2025_01_21_1737471780_S,5,0.753107,8188,N
2025_01_21_1737471780_S,6,0.050469,8284,N
2025_01_21_1737471780_S,7,0.190586,8341,N
2025_01_21_1737471780_S,8,0.304091,9088,N
2025_01_21_1737471780_S,9,0.003475,8535,N
2025_01_21_1737471780_S,10,0.006173,8598,N
2025_01_21_1737471780_S,11,0.001413,8670,N
2025_01_21_1737471780_S,12,0.000576,8714,N
2025_01_21_1737471780_S,13,0.111701,10180,N
2025_01_21_1737471780_S,14,0.071337,8918,N
2025_01_21_1737471780_S,15,0.137405,8995,N
2025_01_21_1737471780_S,16,0.016966,9058,N
2025_01_21_1737471780_S,17,0.005355,9116,N
2025_01_21_1737471780_S,18,0.008207,9903,N
2025_01_21_1737471780_S,19,0.414354,9293,N
2025_01_21_1737471780_S,20,0.050856,9365,N
2025_01_21_1737471780_S,21,0.001956,9426,N
2025_01_21_1737471780_S,22,0.215873,9419,N
2025_01_21_1737471780_S,23,0.141965,10122,N
2025_01_21_1737475200_L,0,0.014138,5698,N
2025_01_21_1737475200_L,1,0.711028,10676,N
2025_01_21_1737475200_L,2,0.068285,7985,N
2025_01_21_1737475200_L,3,0.063840,8033,N
2025_01_21_1737475200_L,4,0.054245,8112,N
2025_01_21_1737475200_L,5,0.146817,8173,N
2025_01_21_1737475200_L,6,0.498240,8931,N
2025_01_21_1737475200_L,7,0.007209,8364,N
2025_01_21_1737475200_L,8,0.004656,8424,N
2025_01_21_1737475200_L,9,0.003453,8506,N
2025_01_21_1737475200_L,10,0.004383,8574,N
2025_01_21_1737475200_L,11,0.057640,9338,N
2025_01_21_1737475200_L,12,0.005974,8765,N
2025_01_21_1737475200_L,13,0.002017,8809,N
2025_01_21_1737475200_L,14,0.409691,8895,N
2025_01_21_1737475200_L,15,0.152380,8962,N
2025_01_21_1737475200_L,16,0.422669,10423,N
2025_01_21_1737475200_L,17,0.029099,9118,N
2025_01_21_1737475200_L,18,0.026802,9183,N
2025_01_21_1737475200_L,19,0.044314,9259,N
2025_01_21_1737475200_L,20,0.112039,9325,N
2025_01_21_1737475200_L,21,0.249956,10091,N
2025_01_21_1737475200_L,22,0.969572,9406,N
2025_01_21_1737475200_L,23,0.923065,9395,N
2025_01_21_1737475200_L,24,0.499700,9401,N
2025_01_21_1737475200_L,25,0.117711,9387,N
2025_01_21_1737489845_L,0,0.017965,5682,N
2025_01_21_1737489845_L,1,0.002407,8505,N
2025_01_21_1737489845_L,2,0.007877,7934,N
2025_01_21_1737489845_L,3,0.007909,7967,N
2025_01_21_1737489845_L,4,0.005334,8061,N
2025_01_21_1737489845_L,5,0.003432,8098,N
2025_01_21_1737489845_L,6,0.020520,8860,N
2025_01_21_1737489845_L,7,0.002689,8293,N
2025_01_21_1737489845_L,8,0.001078,8366,N
2025_01_21_1737489845_L,9,0.004236,8409,N
2025_01_21_1737489845_L,10,0.011788,8469,N
2025_01_21_1737489845_L,11,0.016510,9905,N
2025_01_21_1737489845_L,12,0.001393,8675,N
2025_01_21_1737489845_L,13,0.001673,8747,N
2025_01_21_1737489845_L,14,0.002121,8787,N
2025_01_21_1737489845_L,15,0.005801,8858,N
2025_01_21_1737489845_L,16,0.010228,9591,N
2025_01_21_1737489845_L,17,0.017200,9037,N
2025_01_21_1737489845_L,18,0.005913,9091,N
2025_01_21_1737489845_L,19,0.020519,9167,N
2025_01_21_1737489845_L,20,0.023304,9238,N
2025_01_21_1737489845_L,21,0.017173,9980,N
2025_01_21_1737489845_L,22,0.006867,9297,N
2025_01_21_1737489845_L,23,0.000630,9342,N
2025_01_21_1737489845_L,24,0.001042,9326,N
2025_01_21_1737489845_L,25,0.003951,9339,N
2025_01_21_1737489845_L,26,0.009198,10726,N
2025_01_21_1737489845_L,27,0.005238,9343,N
2025_01_21_1737489845_L,28,0.015975,9348,N
2025_01_21_1737489845_L,29,0.013338,9354,N
2025_01_21_1737489845_L,30,0.013305,9363,N
2025_01_21_1737489845_L,31,0.009072,10038,N
2025_01_21_1737489845_L,32,0.005915,9344,N
2025_01_21_1737489845_L,33,0.045618,9322,N
2025_01_21_1737489845_L,34,0.044541,9346,N
2025_01_21_1737489845_L,35,0.048678,9369,N
2025_01_21_1737489845_L,36,0.056760,10053,N
2025_01_21_1737489845_L,37,0.006991,9354,N
2025_01_21_1737489845_L,38,0.085804,9335,N
2025_01_21_1737489845_L,39,0.015052,9334,N
2025_01_23_1737653440_S,0,0.026584,5672,N
2025_01_23_1737653440_S,1,0.006581,7808,N
2025_01_23_1737653440_S,2,0.013277,7904,N
2025_01_23_1737653440_S,3,0.001563,7960,N
2025_01_23_1737653440_S,4,0.069130,8020,N
2025_01_23_1737653440_S,5,0.071459,8768,N
2025_01_23_1737653440_S,6,0.094142,8201,N
2025_01_23_1737653440_S,7,0.505964,8283,N
2025_01_23_1737653440_S,8,0.019403,8345,N
2025_01_23_1737653440_S,9,0.094301,8408,N
2025_01_23_1737653440_S,10,0.689304,9166,N
2025_01_23_1737653440_S,11,0.037945,8612,N
2025_01_23_1737653440_S,12,0.009470,8693,N
2025_01_23_1737653440_S,13,0.029923,8750,N
2025_01_23_1737653440_S,14,0.022633,8828,N
2025_01_23_1737653440_S,15,0.207828,10283,N
2025_01_23_1737653440_S,16,0.016575,8988,N
2025_01_23_1737653440_S,17,0.125513,9044,N
2025_01_23_1737653440_S,18,0.016895,9099,N
