eid,frame_idx,decision,conf,memo_present
2025_04_08_1744119065_S,0,TRUNCATED,?,0
2025_04_08_1744119065_S,1,HOLD,0.65,1
2025_04_08_1744119065_S,2,HOLD,0.70,1
2025_04_08_1744119065_S,3,HOLD,0.75,1
2025_04_08_1744119065_S,4,HOLD,0.85,1
2025_04_08_1744119065_S,5,HOLD,0.65,1
2025_04_08_1744119065_S,6,HOLD,0.65,1
2025_04_08_1744119065_S,7,HOLD,0.70,1
2025_04_08_1744119065_S,8,HOLD,0.75,1
2025_04_08_1744119065_S,9,HOLD,0.75,1
2025_04_08_1744119065_S,10,HOLD,0.70,1
2025_04_08_1744119065_S,11,HOLD,0.65,1
2025_04_08_1744119065_S,12,HOLD,0.75,1
2025_04_08_1744119065_S,13,HOLD,0.80,1
2025_04_08_1744119065_S,14,HOLD,0.75,1
2025_04_08_1744119065_S,15,HOLD,0.75,1
2025_04_08_1744119065_S,16,HOLD,0.75,1
2025_04_08_1744119065_S,17,HOLD,0.75,1
2025_04_08_1744119475_L,0,HOLD,0.95,1
2025_04_08_1744119475_L,1,HOLD,0.65,1
2025_04_08_1744119475_L,2,HOLD,0.70,1
2025_04_08_1744119475_L,3,HOLD,0.75,1
2025_04_08_1744119475_L,4,HOLD,0.80,1
2025_04_08_1744119475_L,5,HOLD,0.85,1
2025_04_08_1744119475_L,6,HOLD,0.90,1
2025_04_08_1744119475_L,7,HOLD,0.92,1
2025_04_08_1744119475_L,8,HOLD,0.95,1
2025_04_08_1744119475_L,9,HOLD,0.95,1
2025_04_08_1744119475_L,10,HOLD,0.75,1
2025_04_08_1744119475_L,11,HOLD,0.95,1
2025_04_08_1744119475_L,12,HOLD,0.95,1
2025_04_08_1744119475_L,13,HOLD,0.95,1
2025_04_08_1744119475_L,14,HOLD,0.85,1
2025_04_08_1744119475_L,15,HOLD,0.98,1
2025_04_08_1744119475_L,16,HOLD,0.98,1
2025_04_08_1744119475_L,17,HOLD,0.98,1
2025_04_08_1744119475_L,18,HOLD,0.98,1
2025_04_08_1744119475_L,19,HOLD,0.98,1
2025_04_08_1744119475_L,20,HOLD,0.98,1
2025_04_08_1744119475_L,21,HOLD,0.98,1
