eid,frame_idx,p_exit,prompt_tokens,tainted
2025_01_21_1737469980_S,0,0.000005,8509,N
2025_01_21_1737469980_S,1,0.000004,10673,N
2025_01_21_1737469980_S,2,0.000000,10731,N
2025_01_21_1737469980_S,3,0.000003,11493,N
2025_01_21_1737469980_S,4,0.006520,10911,N
2025_01_21_1737469980_S,5,0.006800,10991,N
2025_01_21_1737469980_S,6,0.000007,11071,N
2025_01_21_1737469980_S,7,0.000086,11124,N
2025_01_21_1737469980_S,8,0.000001,11874,N
2025_01_21_1737469980_S,9,0.000015,11302,N
2025_01_21_1737469980_S,10,0.000015,11377,N
2025_01_21_1737469980_S,11,0.000025,11462,N
2025_01_21_1737469980_S,12,0.000001,11534,N
2025_01_21_1737469980_S,13,0.000002,12996,N
2025_01_21_1737469980_S,14,0.000002,11722,N
2025_01_21_1737469980_S,15,0.000000,11781,N
2025_01_21_1737469980_S,16,0.000000,11840,N
2025_01_21_1737469980_S,17,0.000003,11902,N
2025_01_21_1737469980_S,18,0.000059,12662,N
2025_01_21_1737469980_S,19,0.000000,12096,N
2025_01_21_1737471780_S,0,0.000002,8533,N
2025_01_21_1737471780_S,1,0.000129,10701,N
2025_01_21_1737471780_S,2,0.000166,10750,N
2025_01_21_1737471780_S,3,0.007119,11527,N
2025_01_21_1737471780_S,4,0.004399,10937,N
2025_01_21_1737471780_S,5,0.429761,10999,N
2025_01_21_1737471780_S,6,0.000605,11095,N
2025_01_21_1737471780_S,7,0.019607,11152,N
2025_01_21_1737471780_S,8,0.002538,11899,N
2025_01_21_1737471780_S,9,0.000011,11346,N
2025_01_21_1737471780_S,10,0.000034,11409,N
2025_01_21_1737471780_S,11,0.000036,11481,N
2025_01_21_1737471780_S,12,0.000017,11525,N
2025_01_21_1737471780_S,13,0.000066,12991,N
2025_01_21_1737471780_S,14,0.000081,11729,N
2025_01_21_1737471780_S,15,0.000203,11806,N
2025_01_21_1737471780_S,16,0.000001,11869,N
2025_01_21_1737471780_S,17,0.000001,11927,N
2025_01_21_1737471780_S,18,0.000010,12714,N
2025_01_21_1737471780_S,19,0.002131,12104,N
2025_01_21_1737471780_S,20,0.000165,12176,N
2025_01_21_1737471780_S,21,0.000001,12237,N
2025_01_21_1737471780_S,22,0.000102,12230,N
2025_01_21_1737471780_S,23,0.003214,12933,N
2025_01_21_1737475200_L,0,0.000000,8509,N
2025_01_21_1737475200_L,1,0.013782,13487,N
2025_01_21_1737475200_L,2,0.025787,10796,N
2025_01_21_1737475200_L,3,0.000345,10844,N
2025_01_21_1737475200_L,4,0.000299,10923,N
2025_01_21_1737475200_L,5,0.000075,10984,N
2025_01_21_1737475200_L,6,0.000026,11742,N
2025_01_21_1737475200_L,7,0.000003,11175,N
2025_01_21_1737475200_L,8,0.000000,11235,N
2025_01_21_1737475200_L,9,0.000003,11317,N
2025_01_21_1737475200_L,10,0.000004,11385,N
2025_01_21_1737475200_L,11,0.000000,12149,N
2025_01_21_1737475200_L,12,0.000000,11576,N
2025_01_21_1737475200_L,13,0.000002,11620,N
2025_01_21_1737475200_L,14,0.000116,11706,N
2025_01_21_1737475200_L,15,0.000004,11773,N
2025_01_21_1737475200_L,16,0.000869,13234,N
2025_01_21_1737475200_L,17,0.000000,11929,N
2025_01_21_1737475200_L,18,0.000001,11994,N
2025_01_21_1737475200_L,19,0.000000,12070,N
2025_01_21_1737475200_L,20,0.000000,12136,N
2025_01_21_1737475200_L,21,0.000066,12902,N
2025_01_21_1737475200_L,22,0.000230,12217,N
2025_01_21_1737475200_L,23,0.000001,12206,N
2025_01_21_1737475200_L,24,0.000000,12212,N
2025_01_21_1737475200_L,25,0.000123,12198,N
2025_01_21_1737489845_L,0,0.000005,8493,N
2025_01_21_1737489845_L,1,0.000002,11316,N
2025_01_21_1737489845_L,2,0.000607,10745,N
2025_01_21_1737489845_L,3,0.002187,10778,N
2025_01_21_1737489845_L,4,0.002616,10872,N
2025_01_21_1737489845_L,5,0.000178,10909,N
2025_01_21_1737489845_L,6,0.000028,11671,N
2025_01_21_1737489845_L,7,0.003555,11104,N
2025_01_21_1737489845_L,8,0.001000,11177,N
2025_01_21_1737489845_L,9,0.000129,11220,N
2025_01_21_1737489845_L,10,0.004013,11280,N
2025_01_21_1737489845_L,11,0.000055,12716,N
2025_01_21_1737489845_L,12,0.000624,11486,N
2025_01_21_1737489845_L,13,0.000005,11558,N
2025_01_21_1737489845_L,14,0.000014,11598,N
2025_01_21_1737489845_L,15,0.000001,11669,N
2025_01_21_1737489845_L,16,0.000224,12402,N
2025_01_21_1737489845_L,17,0.000018,11848,N
2025_01_21_1737489845_L,18,0.000005,11902,N
2025_01_21_1737489845_L,19,0.000101,11978,N
2025_01_21_1737489845_L,20,0.000029,12049,N
2025_01_21_1737489845_L,21,0.000021,12791,N
2025_01_21_1737489845_L,22,0.000097,12108,N
2025_01_21_1737489845_L,23,0.000008,12153,N
2025_01_21_1737489845_L,24,0.000050,12137,N
2025_01_21_1737489845_L,25,0.000023,12150,N
2025_01_21_1737489845_L,26,0.000010,13537,N
2025_01_21_1737489845_L,27,0.000007,12154,N
2025_01_21_1737489845_L,28,0.000001,12159,N
2025_01_21_1737489845_L,29,0.000008,12165,N
2025_01_21_1737489845_L,30,0.000002,12174,N
2025_01_21_1737489845_L,31,0.000094,12849,N
2025_01_21_1737489845_L,32,0.000003,12155,N
2025_01_21_1737489845_L,33,0.000075,12133,N
2025_01_21_1737489845_L,34,0.000023,12157,N
2025_01_21_1737489845_L,35,0.000002,12180,N
2025_01_21_1737489845_L,36,0.000264,12864,N
2025_01_21_1737489845_L,37,0.000006,12165,N
2025_01_21_1737489845_L,38,0.000014,12146,N
2025_01_21_1737489845_L,39,0.000016,12145,N
2025_01_23_1737653440_S,0,0.000001,8483,N
2025_01_23_1737653440_S,1,0.000026,10619,N
2025_01_23_1737653440_S,2,0.000153,10715,N
2025_01_23_1737653440_S,3,0.000199,10771,N
2025_01_23_1737653440_S,4,0.000988,10831,N
