concept,tf,n_distinct_shapes,shape_list,max_strength
price_sigma_w,1m,4,"noisy,monotonic_decreasing,noisy,inverted_u_shape,monotonic_increasing,monotonic_increasing",35.9490140545249
vol_sigma_w,5m,4,"inverted_u_shape,monotonic_decreasing,noisy,noisy,monotonic_increasing,noisy",31.370401337792643
price_sigma_w,5s,3,"noisy,monotonic_decreasing,noisy,noisy,noisy,monotonic_increasing",41.857413455289986
bar_range,1m,3,"noisy,monotonic_decreasing,noisy,noisy,noisy,monotonic_increasing",40.61455177401856
bar_range,5m,3,"noisy,monotonic_decreasing,monotonic_increasing,noisy,noisy,monotonic_increasing",39.772988802414226
vol_velocity_w,1h,3,"noisy,monotonic_decreasing,u_shape,noisy,noisy,noisy",38.52019417287399
vol_mean_w,5m,3,"monotonic_decreasing,monotonic_decreasing,monotonic_increasing,noisy,noisy,noisy",37.169346195069664
bar_range,5s,3,"monotonic_decreasing,noisy,noisy,noisy,monotonic_increasing,noisy",35.52552879609842
price_velocity_1b,1h,3,"inverted_u_shape,inverted_u_shape,noisy,noisy,noisy,u_shape",35.32248299907791
bar_range,15m,3,"noisy,monotonic_decreasing,noisy,noisy,noisy,monotonic_increasing",34.91948074240604
vol_velocity_1b,1h,3,"inverted_u_shape,noisy,noisy,noisy,u_shape,noisy",31.755131320263608
vol_sigma_w,15m,3,"noisy,monotonic_decreasing,noisy,noisy,monotonic_increasing,noisy",30.86308459442477
body,15m,3,"noisy,inverted_u_shape,noisy,noisy,u_shape,noisy",30.029655392921974
price_velocity_1b,15m,3,"noisy,inverted_u_shape,noisy,noisy,u_shape,noisy",29.555019760940812
vol_accel_1b,15m,3,"noisy,inverted_u_shape,noisy,noisy,u_shape,noisy",29.170408792609997
price_velocity_w,5m,3,"noisy,inverted_u_shape,u_shape,noisy,u_shape,u_shape",26.781416256905235
vwap_w,15m,3,"noisy,inverted_u_shape,noisy,noisy,noisy,monotonic_decreasing",25.655886164893346
price_mean_w,5s,3,"noisy,noisy,noisy,inverted_u_shape,noisy,monotonic_decreasing",25.20732484076433
price_accel_1b,1m,3,"inverted_u_shape,inverted_u_shape,noisy,noisy,noisy,u_shape",24.984007534472042
vwap_w,5s,3,"noisy,noisy,noisy,inverted_u_shape,noisy,monotonic_decreasing",24.892431431171197
price_mean_w,1m,3,"noisy,noisy,noisy,inverted_u_shape,noisy,monotonic_decreasing",24.59331614851209
vwap_w,1m,3,"noisy,noisy,noisy,inverted_u_shape,noisy,monotonic_decreasing",24.593073654621083
price_mean_w,5m,3,"noisy,inverted_u_shape,noisy,inverted_u_shape,noisy,monotonic_decreasing",24.46840374461088
vwap_w,1h,3,"noisy,inverted_u_shape,noisy,inverted_u_shape,noisy,monotonic_decreasing",24.438087943510737
vwap_w,5m,3,"noisy,inverted_u_shape,noisy,inverted_u_shape,noisy,monotonic_decreasing",24.427682079991385
vol_accel_w,4h,3,"noisy,inverted_u_shape,noisy,noisy,u_shape,noisy",23.930301183496848
price_accel_1b,4h,3,"noisy,inverted_u_shape,noisy,noisy,u_shape,noisy",23.91984187568157
