concept,tf,n_distinct_shapes,shape_list,max_strength
vol_velocity_w,1m,3,"inverted_u_shape,inverted_u_shape,noisy,noisy,u_shape,noisy",23.812508825660508
vol_velocity_1b,5m,3,"noisy,inverted_u_shape,noisy,noisy,u_shape,noisy",23.491015850441094
vol_sigma_w,1h,3,"noisy,inverted_u_shape,noisy,noisy,u_shape,noisy",23.156271402197543
vol_velocity_w,5s,3,"inverted_u_shape,inverted_u_shape,noisy,noisy,u_shape,noisy",22.36060126794804
price_velocity_1b,1m,3,"inverted_u_shape,noisy,noisy,noisy,u_shape,noisy",22.182695697746436
vol_velocity_w,5m,3,"inverted_u_shape,noisy,noisy,noisy,u_shape,noisy",21.639214046822744
vol_velocity_1b,1m,3,"inverted_u_shape,noisy,noisy,noisy,u_shape,noisy",20.766927704594963
vol_accel_1b,5s,3,"inverted_u_shape,inverted_u_shape,noisy,noisy,u_shape,noisy",20.76339363856868
price_velocity_1b,5s,3,"inverted_u_shape,inverted_u_shape,noisy,noisy,u_shape,noisy",20.327653729516435
vol_accel_w,5s,3,"inverted_u_shape,inverted_u_shape,noisy,noisy,u_shape,noisy",19.997682892427278
price_accel_w,1m,3,"inverted_u_shape,inverted_u_shape,noisy,noisy,u_shape,noisy",19.561906200618605
vol_accel_1b,1m,3,"inverted_u_shape,inverted_u_shape,noisy,noisy,u_shape,noisy",19.20627460084267
price_accel_1b,5m,3,"noisy,inverted_u_shape,noisy,noisy,u_shape,noisy",18.96636624954073
bar_range,1h,2,"noisy,noisy,u_shape,noisy,noisy,noisy",41.113835937740085
price_sigma_w,5m,2,"noisy,noisy,noisy,noisy,noisy,monotonic_increasing",37.40723714171371
price_accel_w,1h,2,"noisy,noisy,noisy,noisy,noisy,u_shape",37.38129829845591
vol_mean_w,15m,2,"monotonic_decreasing,noisy,noisy,noisy,noisy,noisy",36.97883172561629
vol_mean_w,5s,2,"monotonic_decreasing,noisy,noisy,noisy,noisy,noisy",36.2152595825589
vol_mean_w,1m,2,"noisy,monotonic_decreasing,noisy,noisy,noisy,noisy",34.42272727272727
body,1h,2,"inverted_u_shape,inverted_u_shape,noisy,noisy,noisy,noisy",33.95855317284304
price_velocity_w,4h,2,"noisy,noisy,noisy,inverted_u_shape,noisy,noisy",33.70803909880166
vol_accel_1b,1h,2,"inverted_u_shape,noisy,noisy,noisy,noisy,noisy",32.95725682902154
price_velocity_1b,4h,2,"noisy,noisy,monotonic_decreasing,noisy,noisy,noisy",31.34557291666666
price_sigma_w,15m,2,"noisy,monotonic_decreasing,noisy,noisy,noisy,noisy",31.21184598140932
bar_range,4h,2,"noisy,noisy,noisy,inverted_u_shape,noisy,noisy",31.00870151378281
vol_sigma_w,1m,2,"noisy,monotonic_decreasing,noisy,noisy,noisy,noisy",30.633976420150056
vol_velocity_w,4h,2,"noisy,inverted_u_shape,noisy,noisy,noisy,noisy",30.483035001716534
price_accel_1b,1h,2,"noisy,noisy,monotonic_decreasing,noisy,noisy,noisy",28.97429072813464
price_sigma_w,4h,2,"noisy,noisy,u_shape,noisy,noisy,noisy",28.760169604700856
price_accel_w,4h,2,"noisy,noisy,monotonic_decreasing,noisy,noisy,noisy",27.778225108225108
price_velocity_w,1m,2,"noisy,noisy,noisy,noisy,u_shape,u_shape",27.68763183568001
vol_sigma_w,4h,2,"noisy,noisy,noisy,noisy,noisy,u_shape",27.477988953866145
price_mean_w,4h,2,"noisy,noisy,noisy,inverted_u_shape,noisy,noisy",26.5605297945902
price_mean_w,15m,2,"noisy,noisy,noisy,noisy,noisy,monotonic_decreasing",25.77304394426581
vol_accel_1b,4h,2,"noisy,noisy,noisy,u_shape,noisy,noisy",24.779284782582558
body,1m,2,"noisy,noisy,noisy,noisy,noisy,u_shape",24.005931617930194
price_velocity_w,5s,2,"noisy,inverted_u_shape,noisy,noisy,noisy,noisy",23.23976575184281
price_velocity_w,15m,2,"noisy,noisy,noisy,noisy,noisy,u_shape",22.72839848436083
vol_accel_w,5m,2,"inverted_u_shape,inverted_u_shape,noisy,noisy,noisy,noisy",22.522811392284108
vol_accel_w,1m,2,"inverted_u_shape,noisy,noisy,noisy,noisy,noisy",21.26197038300851
price_accel_1b,5s,2,"noisy,noisy,noisy,noisy,u_shape,u_shape",21.214801139754144
vol_velocity_1b,5s,2,"inverted_u_shape,inverted_u_shape,noisy,noisy,noisy,noisy",21.018326022246594
body,5m,2,"noisy,noisy,noisy,noisy,u_shape,noisy",20.98123867935065
price_accel_w,15m,2,"noisy,noisy,noisy,noisy,u_shape,u_shape",20.944552525956148
vol_velocity_1b,15m,2,"noisy,noisy,noisy,noisy,u_shape,noisy",20.62437132069905
price_velocity_1b,5m,2,"noisy,noisy,noisy,noisy,u_shape,noisy",19.611584779556395
price_accel_1b,15m,2,"inverted_u_shape,noisy,noisy,noisy,noisy,noisy",19.408968033772197
vol_accel_w,15m,2,"noisy,noisy,noisy,noisy,u_shape,noisy",18.750744986990014
price_accel_w,5s,2,"noisy,noisy,noisy,noisy,u_shape,u_shape",17.471721644378405
