hypothesis,predicted,pearson_min,pearson_max,pearson_mean,n_pos_tf,n_neg_tf,n_zero_tf,sign_flip_across_tfs,agree_count,n_tfs,interpretation
velocity_needs_volume,+,0.4016428077854375,0.5182058005727402,0.4675282078872919,8,0,0,False,8,8,directional moves require volume
velocity_kills_variation,?,0.7641092051103476,0.8901249331634588,0.8484108706456497,8,0,0,False,0,8,high velocity vs sigma — user predicts negative
chop_vs_trend,-,0.03927241689891625,0.1422035987296183,0.07669915265873714,7,0,1,False,0,8,Hurst trending vs reversion mean-revert (definitional)
range_tracks_volume,+,0.32121136247478965,0.6315943886303226,0.533891432573891,8,0,0,False,8,8,busy bars are big bars
body_is_velocity,+,0.9098114264135435,0.9972665867731488,0.9533132933881046,8,0,0,False,8,8,body and bar-velocity are the same primitive
vwap_vs_price_mean,+,0.9986444448666225,0.9999998167738573,0.9996528268666844,8,0,0,False,8,8,VWAP and unweighted mean redundancy audit
vol_mean_vs_sigma,+,0.761414394990692,0.9356484751131852,0.8556430150003224,8,0,0,False,8,8,are volume mean and volume sigma redundant
swing_noise_vs_range,+,0.49757130476554007,0.7431609239769243,0.6190946888491325,8,0,0,False,8,8,are swing_noise and bar_range redundant
SE_symmetry,+,0.6495020165054115,0.9666711959101116,0.8903506022584053,8,0,0,False,8,8,upper and lower standard errors symmetric
z_extreme_wide_bars,+,0.14017821478527234,0.29784003354488253,0.1978781888732959,8,0,0,False,8,8,extreme regression dislocation comes with wide bars
z_extreme_high_sigma,+,-0.017801858048839565,0.03427976691655711,0.01703314684967301,0,0,8,False,0,8,extreme z = high local variation
accel_vs_velocity,?,0.11484337344287844,0.26460680314247714,0.19075121420092223,8,0,0,False,0,8,acceleration vs velocity within window
vol_kinetic_drives_price,?,-0.2831390855517892,-0.026385028928598703,-0.09184334781256376,0,5,3,False,0,8,do volume swings drive price swings?
abs_vol_velocity_vs_range,+,-0.037968183134615044,0.4920543634158189,0.3493572160600207,7,0,1,False,7,8,rapid volume change = bigger bars
reversion_vs_swing_noise,?,-0.0986622528300735,0.0113217884622721,-0.011305539305873705,0,1,7,False,0,8,is reversion higher when path is noisier
z_high_low_symmetry,+,0.3008174234215886,0.8593029548922648,0.7159230386463331,8,0,0,False,8,8,upper-band and lower-band z symmetric
hurst_vs_swing_noise,-,-0.12131578520708158,0.20946828517557095,0.09079573808157704,6,1,1,True,1,8,trending market has less path noise
vol_accel_vs_vol_velocity,?,0.2957814824265855,0.8976008776553028,0.5699459365181792,8,0,0,False,0,8,volume acceleration leads volume velocity
