pair,tf,n_days,overall_acc,up_acc,down_acc,flat_acc,cm_up_to_up,cm_up_to_down,cm_up_to_flat,cm_down_to_up,cm_down_to_down,cm_down_to_flat,cm_flat_to_up,cm_flat_to_down,cm_flat_to_flat
price_velocity_1b__bar_range,15m,348,0.5804597701149425,0.3953488372093023,0.5555555555555556,0.6683417085427136,34,8,44,4,35,24,24,42,133
bar_range__body,15m,348,0.5632183908045977,0.37209302325581395,0.5238095238095238,0.6582914572864321,32,10,44,5,33,25,26,42,131
price_velocity_w__price_sigma_w,5m,347,0.5590778097982709,0.5697674418604651,0.6984126984126984,0.51010101010101,49,10,27,7,44,12,37,60,101
price_velocity_1b__bar_range,1h,347,0.5417867435158501,0.5813953488372093,0.6190476190476191,0.5,50,15,21,7,39,17,38,61,99
bar_range__body,1h,347,0.5389048991354467,0.6162790697674418,0.6031746031746031,0.48484848484848486,53,15,18,7,38,18,42,60,96
price_velocity_w__price_sigma_w,15m,347,0.515850144092219,0.6627906976744186,0.6984126984126984,0.3939393939393939,57,11,18,10,44,9,52,68,78
price_velocity_w__SE_high_w,15m,347,0.49855907780979825,0.5116279069767442,0.5873015873015873,0.46464646464646464,44,12,30,10,37,16,54,52,92
price_velocity_w__SE_low_w,15m,347,0.4697406340057637,0.46511627906976744,0.6349206349206349,0.41919191919191917,40,15,31,8,40,15,43,72,83
price_velocity_w__swing_noise_w,1h,327,0.44954128440366975,0.46153846153846156,0.6,0.3968253968253968,36,22,20,14,36,10,59,55,75
price_velocity_w__price_sigma_w,1h,347,0.40057636887608067,0.4883720930232558,0.5873015873015873,0.30303030303030304,42,24,20,10,37,16,67,71,60
price_velocity_w__vol_mean_w,1h,347,0.3659942363112392,0.4069767441860465,0.6349206349206349,0.26262626262626265,35,21,30,10,40,13,80,66,52
price_velocity_1b__reversion_prob_w,1h,347,0.2910662824207493,0.13953488372093023,0.12698412698412698,0.4090909090909091,12,41,33,42,8,13,78,39,81
