**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,entry_ts,dir,peak_pts,peak_dollar,bars_to_peak,sec_to_peak,path_len,pnl
2025_01_02,1735783500.0,long,9.75,19.5,18,90,43,0.0
2025_01_02,1735783860.0,short,4.0,8.0,32,160,39,18.5
2025_01_02,1735784100.0,long,21.5,43.0,80,400,114,61.0
2025_01_02,1735836420.0,long,40.5,81.0,58,290,85,-19.5
2025_01_02,1735845000.0,long,13.75,27.5,104,520,109,4.0
2025_01_03,1735884660.0,long,20.5,41.0,99,495,116,33.5
2025_01_03,1735905000.0,long,9.0,18.0,67,335,72,21.0
2025_01_03,1735905480.0,short,27.0,54.0,88,440,125,43.0
2025_01_03,1735906260.0,short,21.5,43.0,94,470,247,6.5
2025_01_03,1735912200.0,short,16.75,33.5,34,170,72,24.5
2025_01_03,1735926420.0,long,3.75,7.5,21,105,25,15.0
2025_01_03,1735926540.0,long,15.0,30.0,59,295,97,22.5
2025_01_03,1735937040.0,long,7.75,15.5,32,160,37,-12.5
2025_01_05,1736118300.0,short,12.0,24.0,17,85,24,14.0
2025_01_06,1736143560.0,long,5.75,11.5,161,805,188,1.5
2025_01_06,1736157300.0,short,3.0,6.0,20,100,48,-15.0
2025_01_06,1736157540.0,short,14.75,29.5,50,250,95,5.0
2025_01_06,1736160000.0,short,13.25,26.5,62,310,68,32.0
2025_01_06,1736165820.0,long,15.5,31.0,115,575,145,13.0
2025_01_06,1736174580.0,long,25.25,50.5,42,210,49,22.5
2025_01_06,1736186400.0,short,31.0,62.0,26,130,61,15.0
2025_01_06,1736193000.0,short,51.5,103.0,122,610,265,20.5
2025_01_07,1736213100.0,long,4.25,8.5,17,85,63,-5.5
2025_01_07,1736220060.0,short,3.75,7.5,15,75,29,5.5
2025_01_07,1736231280.0,long,5.5,11.0,23,115,28,2.0
2025_01_07,1736241000.0,short,4.5,9.0,17,85,25,2.0
2025_01_07,1736243700.0,short,13.5,27.0,57,285,61,19.0
2025_01_07,1736246400.0,short,3.25,6.5,7,35,25,4.5
