from,to,count,p_to_given_from
FLATLINE,NOISE,132,0.1568
FLATLINE,GENTLE_CONCAVE_UP,105,0.1247
FLATLINE,STEEP_LINEAR_UP,95,0.1128
FLATLINE,STEEP_LINEAR_DOWN,95,0.1128
FLATLINE,GENTLE_LINEAR_DOWN,79,0.0938
FLATLINE,GENTLE_LINEAR_UP,76,0.0903
FLATLINE,GENTLE_CONVEX_DOWN,74,0.0879
FLATLINE,STEEP_CONCAVE_UP,47,0.0558
FLATLINE,STEEP_CONVEX_DOWN,46,0.0546
FLATLINE,GENTLE_CONVEX_UP,33,0.0392
FLATLINE,GENTLE_CONCAVE_DOWN,23,0.0273
FLATLINE,STEEP_CONCAVE_DOWN,19,0.0226
FLATLINE,STEEP_CONVEX_UP,18,0.0214
GENTLE_CONCAVE_DOWN,FLATLINE,16,0.2105
GENTLE_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,14,0.1842
GENTLE_CONCAVE_DOWN,NOISE,14,0.1842
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,12,0.1579
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,11,0.1447
GENTLE_CONCAVE_DOWN,GENTLE_CONVEX_UP,4,0.0526
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_UP,2,0.0263
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_DOWN,1,0.0132
GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_UP,1,0.0132
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,1,0.0132
GENTLE_CONCAVE_UP,FLATLINE,131,0.2604
GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,80,0.159
GENTLE_CONCAVE_UP,NOISE,78,0.1551
GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,75,0.1491
GENTLE_CONCAVE_UP,GENTLE_LINEAR_DOWN,49,0.0974
GENTLE_CONCAVE_UP,GENTLE_CONVEX_UP,28,0.0557
GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,22,0.0437
