**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

concept,tf,regime_2d,p_lag_1,p_lag_5,p_lag_10,half_life_k,half_life_str,asymptote
swing_noise_w,1h,DOWN_SMOOTH,0.9989235737351991,0.9944506104328524,0.9884526558891455,21,>20,0.9751243781094527
swing_noise_w,1h,DOWN_CHOPPY,0.998324958123953,0.9914529914529915,0.9824561403508771,21,>20,0.9635036496350365
swing_noise_w,1h,UP_CHOPPY,0.9975429975429976,0.9875930521091811,0.9748743718592965,21,>20,0.9484536082474226
swing_noise_w,1h,FLAT_CHOPPY,0.9967329158725837,0.983448275862069,0.9663394109396914,21,>20,0.9349782293178519
swing_noise_w,1h,FLAT_SMOOTH,0.9958419958419958,0.9788583509513742,0.9568034557235421,21,>20,0.909706546275395
price_sigma_w,1h,UP_SMOOTH,0.9944095038434662,0.9713261648745519,0.9407407407407408,21,>20,0.8793650793650793
swing_noise_w,1h,UP_SMOOTH,0.9938817131203264,0.9689011748445059,0.936485532815808,21,>20,0.8857142857142857
price_sigma_w,1h,FLAT_SMOOTH,0.9922918807810894,0.9606505771248688,0.9191810344827587,21,>20,0.8367816091954023
vol_mean_w,1h,FLAT_CHOPPY,0.9917943107221007,0.9586549062844543,0.9165043139437796,21,>20,0.8319613965370423
price_sigma_w,1h,FLAT_CHOPPY,0.9915300546448087,0.9570874861572536,0.9127252252252253,21,>20,0.830607476635514
price_sigma_w,1h,DOWN_SMOOTH,0.9914163090128756,0.9563318777292577,0.9107142857142857,21,>20,0.8301886792452831
vol_mean_w,1h,UP_CHOPPY,0.9911504424778761,0.9555273189326556,0.9104859335038363,21,>20,0.8272251308900523
price_sigma_w,1h,UP_CHOPPY,0.9911392405063291,0.9552429667519181,0.9093264248704663,21,>20,0.8263157894736842
swing_noise_w,15m,FLAT_CHOPPY,0.9907281156258522,0.9537826685006877,0.9101529902642559,21,>20,0.8308571428571428
vol_mean_w,1h,DOWN_SMOOTH,0.9903536977491961,0.9511400651465798,0.9006622516556292,21,>20,0.8036529680365296
vol_mean_w,1h,FLAT_SMOOTH,0.9902663934426229,0.9509297520661157,0.9008350730688935,21,>20,0.8043010752688172
price_sigma_w,1h,DOWN_CHOPPY,0.9899665551839465,0.9491525423728814,0.896551724137931,21,>20,0.8115942028985508
vol_mean_w,1h,DOWN_CHOPPY,0.9899665551839465,0.9491525423728814,0.896551724137931,21,>20,0.7857142857142857
