**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tier,t_since_peak_bucket,capture_bucket,n_is,n_oos,P_is_peak_final_IS,P_is_peak_final_OOS,sign_match
CASCADE,0,0,5017,1121,0.223,0.224,1
CASCADE,0,1,161,25,0.714,0.64,1
CASCADE,0,2,360,72,0.65,0.667,1
CASCADE,0,3,682,166,0.68,0.614,1
CASCADE,0,4,4438,1040,0.486,0.469,1
CASCADE,1,0,2027,529,0.383,0.357,1
CASCADE,1,1,331,79,0.725,0.709,1
CASCADE,1,2,620,155,0.713,0.735,1
CASCADE,1,3,743,168,0.715,0.643,1
CASCADE,1,4,298,82,0.52,0.659,1
CASCADE,2,0,1949,449,0.525,0.468,0
CASCADE,2,1,534,113,0.777,0.77,1
CASCADE,2,2,617,158,0.784,0.766,1
CASCADE,2,3,462,111,0.736,0.721,1
CASCADE,2,4,135,31,0.556,0.548,1
CASCADE,3,0,2151,503,0.683,0.686,1
CASCADE,3,1,785,190,0.748,0.737,1
CASCADE,3,2,520,106,0.717,0.774,1
CASCADE,3,3,235,75,0.634,0.56,1
CASCADE,3,4,92,19,0.467,,-1
CASCADE,4,0,1792,384,0.815,0.898,1
CASCADE,4,1,418,94,0.813,0.915,1
CASCADE,4,2,385,78,0.735,0.782,1
CASCADE,4,3,269,34,0.613,0.676,1
CASCADE,4,4,53,9,0.358,,-1
CASCADE,5,0,541,141,0.884,0.965,1
CASCADE,5,1,83,11,0.819,,-1
CASCADE,5,2,63,17,0.762,,-1
FADE_AGAINST,0,0,4352,1099,0.241,0.224,1
FADE_AGAINST,0,1,144,24,0.694,0.625,1
FADE_AGAINST,0,2,326,80,0.672,0.637,1
FADE_AGAINST,0,3,683,162,0.649,0.648,1
FADE_AGAINST,0,4,4085,983,0.484,0.471,1
FADE_AGAINST,1,0,1775,483,0.39,0.35,1
FADE_AGAINST,1,1,327,91,0.761,0.758,1
FADE_AGAINST,1,2,611,143,0.745,0.664,1
FADE_AGAINST,1,3,642,185,0.72,0.724,1
FADE_AGAINST,1,4,257,60,0.564,0.533,1
FADE_AGAINST,2,0,1736,429,0.504,0.457,0
FADE_AGAINST,2,1,568,139,0.798,0.791,1
FADE_AGAINST,2,2,548,150,0.734,0.787,1
FADE_AGAINST,2,3,419,122,0.726,0.713,1
FADE_AGAINST,2,4,129,16,0.581,,-1
FADE_AGAINST,3,0,2014,479,0.7,0.676,1
FADE_AGAINST,3,1,797,187,0.748,0.733,1
FADE_AGAINST,3,2,462,103,0.723,0.699,1
FADE_AGAINST,3,3,209,61,0.632,0.557,1
FADE_AGAINST,3,4,92,16,0.457,,-1
FADE_AGAINST,4,0,1683,327,0.844,0.869,1
FADE_AGAINST,4,1,450,103,0.767,0.728,1
FADE_AGAINST,4,2,359,129,0.708,0.721,1
FADE_AGAINST,4,3,264,73,0.545,0.671,1
FADE_AGAINST,4,4,68,16,0.353,,-1
FADE_AGAINST,5,0,440,68,0.939,1.0,1
FADE_AGAINST,5,1,84,16,0.857,,-1
FADE_AGAINST,5,2,57,5,0.754,,-1
FADE_AT_BAND,0,0,27837,7440,0.5,0.484,1
FADE_AT_BAND,0,1,1027,286,0.74,0.661,1
FADE_AT_BAND,0,2,2530,632,0.719,0.714,1
FADE_AT_BAND,0,3,4524,1292,0.692,0.658,1
FADE_AT_BAND,0,4,34020,9522,0.572,0.546,1
FADE_AT_BAND,1,0,7993,2279,0.511,0.51,1
FADE_AT_BAND,1,1,1878,522,0.68,0.667,1
FADE_AT_BAND,1,2,2774,909,0.649,0.661,1
FADE_AT_BAND,1,3,3263,1171,0.606,0.602,1
FADE_AT_BAND,1,4,1427,517,0.472,0.501,0
FADE_AT_BAND,2,0,8566,2517,0.625,0.599,1
FADE_AT_BAND,2,1,2391,670,0.723,0.679,1
FADE_AT_BAND,2,2,2217,700,0.664,0.696,1
FADE_AT_BAND,2,3,1852,577,0.597,0.567,1
FADE_AT_BAND,2,4,669,278,0.477,0.435,1
FADE_AT_BAND,3,0,9877,2667,0.703,0.68,1
FADE_AT_BAND,3,1,1779,589,0.699,0.671,1
FADE_AT_BAND,3,2,1691,550,0.596,0.547,1
FADE_AT_BAND,3,3,1347,391,0.517,0.46,0
FADE_AT_BAND,3,4,440,164,0.352,0.427,1
FADE_AT_BAND,4,0,8748,2602,0.785,0.763,1
FADE_AT_BAND,4,1,1030,327,0.742,0.645,1
FADE_AT_BAND,4,2,1013,293,0.637,0.642,1
FADE_AT_BAND,4,3,657,213,0.54,0.54,1
FADE_AT_BAND,4,4,228,105,0.316,0.486,1
FADE_AT_BAND,5,0,3957,1260,0.887,0.856,1
FADE_AT_BAND,5,1,239,112,0.728,0.625,1
FADE_AT_BAND,5,2,222,108,0.716,0.546,1
FADE_AT_BAND,5,3,140,49,0.507,0.776,1
FADE_CALM,0,0,37484,5128,0.234,0.219,1
FADE_CALM,0,1,884,112,0.716,0.643,1
FADE_CALM,0,2,2592,336,0.679,0.631,1
FADE_CALM,0,3,4879,651,0.672,0.61,1
FADE_CALM,0,4,32595,4646,0.507,0.466,0
FADE_CALM,1,0,15450,2497,0.401,0.354,1
FADE_CALM,1,1,2383,364,0.77,0.747,1
FADE_CALM,1,2,4435,684,0.735,0.7,1
FADE_CALM,1,3,5128,886,0.709,0.66,1
FADE_CALM,1,4,2349,395,0.561,0.491,0
FADE_CALM,2,0,14420,2221,0.519,0.489,0
FADE_CALM,2,1,3777,556,0.79,0.781,1
FADE_CALM,2,2,4444,668,0.775,0.766,1
FADE_CALM,2,3,3197,527,0.734,0.676,1
FADE_CALM,2,4,1185,173,0.572,0.538,1
FADE_CALM,3,0,16390,2391,0.701,0.679,1
FADE_CALM,3,1,5441,753,0.766,0.76,1
FADE_CALM,3,2,3806,557,0.697,0.691,1
FADE_CALM,3,3,1854,314,0.639,0.548,1
FADE_CALM,3,4,688,89,0.475,0.427,1
FADE_CALM,4,0,13286,1607,0.847,0.851,1
FADE_CALM,4,1,2903,524,0.815,0.868,1
FADE_CALM,4,2,2695,439,0.718,0.768,1
FADE_CALM,4,3,1836,225,0.589,0.591,1
FADE_CALM,4,4,584,69,0.411,0.42,1
FADE_CALM,5,0,4408,424,0.935,0.941,1
FADE_CALM,5,1,709,76,0.929,0.947,1
FADE_CALM,5,2,505,46,0.832,0.761,1
FADE_CALM,5,3,312,46,0.657,0.63,1
FADE_CALM,5,4,94,12,0.468,,-1
FADE_MOMENTUM,0,0,21731,6260,0.191,0.199,1
FADE_MOMENTUM,0,1,801,237,0.644,0.603,1
FADE_MOMENTUM,0,2,1752,478,0.636,0.632,1
FADE_MOMENTUM,0,3,3619,997,0.63,0.627,1
FADE_MOMENTUM,0,4,19857,5592,0.459,0.454,1
