X,Y,regime_2d,max_diag_tf,max_diag_r,max_offdiag_tfX,max_offdiag_tfY,max_offdiag_r,offdiag_lift,sign_match
price_velocity_w,swing_noise_w,ALL,4h,-0.08848731338389461,1D,1h,-0.3900093952208588,0.3015220818369642,True
price_velocity_w,swing_noise_w,DOWN_CHOPPY,1h,-0.39917875144115694,1h,15m,-0.5940253440433452,0.19484659260218823,True
price_velocity_w,price_sigma_w,ALL,1D,-0.15556928773041462,1D,1h,-0.31121366007538437,0.15564437234496975,True
price_velocity_w,swing_noise_w,FLAT_CHOPPY,1h,-0.21976663284534567,1h,15m,-0.3654274688608129,0.14566083601546723,True
price_velocity_w,swing_noise_w,FLAT_SMOOTH,4h,0.4421688968858924,1D,4h,0.5672781377530308,0.12510924086713843,True
price_velocity_w,SE_low_w,ALL,1D,-0.1893390590411257,1D,1h,-0.29337138173844485,0.10403232269731916,True
price_velocity_w,vol_mean_w,ALL,1D,-0.3103801509436697,1D,4h,-0.4014804979209182,0.0911003469772485,True
price_velocity_w,swing_noise_w,DOWN_SMOOTH,1h,-0.7510253569156331,4h,1h,-0.8313093614224607,0.0802840045068276,True
price_velocity_w,SE_low_w,FLAT_CHOPPY,15m,-0.24541968011789458,1h,15m,-0.31932497106456065,0.07390529094666606,True
price_velocity_w,price_sigma_w,FLAT_CHOPPY,15m,-0.25928527606882107,1h,15m,-0.3311582039714389,0.07187292790261784,True
price_velocity_w,swing_noise_w,UP_CHOPPY,4h,-0.7963576643449854,1D,4h,-0.8457211388690105,0.04936347452402501,True
price_velocity_w,vol_mean_w,FLAT_CHOPPY,1D,-0.43433970729284027,1D,4h,-0.4785716311863297,0.044231923893489455,True
price_velocity_w,vol_mean_w,DOWN_SMOOTH,1h,-0.6822117692361838,1D,4h,-0.7030684378507642,0.020856668614580465,True
price_velocity_w,swing_noise_w,UP_SMOOTH,1h,0.7664648976615592,15m,5m,0.7789475934010944,0.012482695739535199,True
price_velocity_w,vol_mean_w,UP_CHOPPY,1D,-0.8041609715395899,1D,4h,-0.805123260557494,0.0009622890179040722,True
price_velocity_w,SE_low_w,UP_CHOPPY,1D,-0.7650885444271599,1D,4h,-0.7657241680828322,0.0006356236556722683,True
price_velocity_w,SE_low_w,DOWN_SMOOTH,15m,-0.7340753062552565,4h,1h,-0.7273248139843861,-0.006750492270870434,True
