concept,mean_adjacent_TF_corr,mean_far_TF_corr,decay,n_pos_offdiag,n_neg_offdiag,n_zero_offdiag,has_sign_flips
vol_mean_w,0.7601122890117892,0.1689790580927234,0.5911332309190658,28,0,0,False
vol_sigma_w,0.6484557197741561,0.11292452836914502,0.535531191405011,28,0,0,False
price_velocity_w,0.496844914687634,-0.0012935309065266391,0.4981384455941606,14,0,14,False
swing_noise_w,0.7532174249184272,0.4057792237364698,0.34743820118195745,28,0,0,False
SE_low_w,0.6319124995577591,0.31558596802714933,0.31632653153060974,28,0,0,False
price_sigma_w,0.6520695851127327,0.33694083313011414,0.3151287519826186,28,0,0,False
SE_high_w,0.6635550095139804,0.3496802591798533,0.3138747503341271,28,0,0,False
vol_velocity_w,0.31099876440107677,0.012917408713445374,0.2980813556876314,9,4,15,True
bar_range,0.7057948740146117,0.448671653011281,0.25712322100333074,28,0,0,False
body,0.245263220275766,0.0010375907643501512,0.24422562951141585,10,2,16,True
price_velocity_1b,0.24215381324189558,0.0026157752076184145,0.23953803803427717,10,1,17,True
price_accel_w,0.12706640802671348,0.0024075980622425934,0.12465880996447089,7,4,17,True
z_se_w,0.10727122754432461,0.004005186762886567,0.10326604078143804,4,7,17,True
vol_velocity_1b,0.09870491805212218,-0.0005371872253242373,0.09924210527744642,5,4,19,True
vol_accel_w,0.0864920848004449,0.010002104507076772,0.07648998029336813,4,2,22,True
reversion_prob_w,0.0732649276127052,0.0006701186573622285,0.07259480895534297,4,0,24,False
vol_accel_1b,0.04862627706224868,-0.011530487007647207,0.06015676406989589,3,5,20,True
price_mean_w,0.9977786414114185,0.9855642149888151,0.012214426422603397,28,0,0,False
vwap_w,0.9978299414356802,0.9869910997779687,0.010838841657711429,28,0,0,False
price_accel_1b,-0.06701889069639384,0.002457871986872831,-0.06947676268326668,0,5,23,False
z_high_w,-0.0946226134642221,0.001604058062245821,-0.09622667152646792,1,8,19,True
hurst_w,-0.11286578638666045,0.0001265311469358644,-0.11299231753359631,1,7,20,True
z_low_w,-0.11453616978153623,0.0004719258246223927,-0.11500809560615863,1,8,19,True
