level,parent_motif_idx,seg_idx,start_ts,end_ts,start_iso,end_iso,length_min,slope_pts_per_min,mean_sigma,sigma_rank_mid,r2adj,shape_class,shape_pearson_r,peak_abs_z,tod_start_hour_utc,net_move_pts,day,split,sequence_position,prev_seg_shape,next_seg_idx,next_seg_continued,ride_pnl_pts,fade_pnl_pts,max_mfe_ride_pts,max_mae_ride_pts,max_mfe_fade_pts,max_mae_fade_pts,time_to_max_z_min,time_to_revert_min,resolved_as_cascade,extended_60m,extended_120m
melody,0,0,1735772400,1735775995,2025-01-01T23:00:00+00:00,2025-01-01T23:59:55+00:00,59.92,,11.989,0.62,0.528,NOISE,-999.0,5.104,23,0.75,2025_01_01,IS,0,NONE,-1,False,0.0,-0.0,51.75,-23.25,23.25,-51.75,5.08,5.17,False,False,False
melody,0,0,1735776000,1735778400,2025-01-02T00:00:00+00:00,2025-01-02T00:40:00+00:00,40.0,,29.61,0.754,0.604,NOISE,-999.0,7.574,0,-81.25,2025_01_02,IS,0,NONE,12,False,0.0,-0.0,1.0,-136.75,136.75,-1.0,18.58,33.83,False,False,False
melody,0,1,1735778400,1735784400,2025-01-02T00:40:00+00:00,2025-01-02T02:20:00+00:00,100.0,1.1381,25.899,0.027,0.753,LINEAR_UP,0.982,2.256,0,117.25,2025_01_02,IS,1,NOISE,11,False,117.25,-117.25,125.5,-3.0,3.0,-125.5,74.67,,False,True,False
melody,0,2,1735784400,1735784700,2025-01-02T02:20:00+00:00,2025-01-02T02:25:00+00:00,5.0,-0.1111,5.202,0.017,0.233,FLATLINE,0.0,2.106,2,-4.0,2025_01_02,IS,2,LINEAR_UP,10,False,4.0,-4.0,4.5,-8.0,8.0,-4.5,3.42,1.0,False,False,False
melody,0,3,1735784700,1735787400,2025-01-02T02:25:00+00:00,2025-01-02T03:10:00+00:00,45.0,0.4951,10.441,0.582,0.051,LINEAR_UP,0.993,5.105,2,18.5,2025_01_02,IS,3,FLATLINE,9,False,18.5,-18.5,34.75,0.0,-0.0,-34.75,25.5,27.58,False,False,False
melody,0,4,1735787400,1735787700,2025-01-02T03:10:00+00:00,2025-01-02T03:15:00+00:00,5.0,-0.1667,5.272,0.153,0.518,FLATLINE,0.0,1.9,3,-2.75,2025_01_02,IS,4,LINEAR_UP,8,False,2.75,-2.75,5.75,-4.5,4.5,-5.75,2.83,3.0,False,False,False
melody,0,5,1735787700,1735788600,2025-01-02T03:15:00+00:00,2025-01-02T03:30:00+00:00,15.0,0.0889,5.711,0.229,0.879,FLATLINE,0.0,3.043,3,17.0,2025_01_02,IS,5,FLATLINE,7,False,17.0,-17.0,25.25,-4.75,4.75,-25.25,13.17,14.42,False,False,False
melody,0,6,1735788600,1735788900,2025-01-02T03:30:00+00:00,2025-01-02T03:35:00+00:00,5.0,-0.0556,6.278,0.416,0.534,FLATLINE,0.0,2.029,3,-5.75,2025_01_02,IS,6,FLATLINE,6,False,5.75,-5.75,9.25,-3.25,3.25,-9.25,2.25,2.58,False,False,False
melody,0,7,1735788900,1735789200,2025-01-02T03:35:00+00:00,2025-01-02T03:40:00+00:00,5.0,0.05,6.005,0.351,0.611,FLATLINE,0.0,0.67,3,-6.0,2025_01_02,IS,7,FLATLINE,5,False,-6.0,6.0,0.0,-7.25,7.25,-0.0,4.75,,False,False,False
melody,0,8,1735789200,1735792200,2025-01-02T03:40:00+00:00,2025-01-02T04:30:00+00:00,50.0,-0.3072,7.782,0.817,0.224,EXPONENTIAL_DOWN,0.986,3.535,3,-14.0,2025_01_02,IS,8,FLATLINE,4,False,14.0,-14.0,27.75,-0.0,0.0,-27.75,41.75,45.5,False,False,False
melody,0,9,1735792200,1735802100,2025-01-02T04:30:00+00:00,2025-01-02T07:15:00+00:00,165.0,0.4771,9.094,0.965,0.931,LINEAR_UP,0.993,3.876,4,75.25,2025_01_02,IS,9,EXPONENTIAL_DOWN,3,False,75.25,-75.25,92.75,-2.0,2.0,-92.75,152.42,,False,True,True
melody,0,10,1735802100,1735802700,2025-01-02T07:15:00+00:00,2025-01-02T07:25:00+00:00,10.0,-0.0889,4.209,0.036,0.133,FLATLINE,0.0,2.941,7,-1.25,2025_01_02,IS,10,LINEAR_UP,2,False,1.25,-1.25,7.5,-2.25,2.25,-7.5,1.25,1.33,False,False,False
melody,0,11,1735802700,1735803000,2025-01-02T07:25:00+00:00,2025-01-02T07:30:00+00:00,5.0,0.0056,4.715,0.158,0.224,FLATLINE,0.0,2.109,7,-2.5,2025_01_02,IS,11,FLATLINE,1,False,-2.5,2.5,3.75,-5.25,5.25,-3.75,2.0,2.08,False,False,False
melody,0,12,1735803000,1735804800,2025-01-02T07:30:00+00:00,2025-01-02T08:00:00+00:00,30.0,-0.5519,8.358,0.997,0.526,EXPONENTIAL_DOWN,0.98,4.835,7,-19.5,2025_01_02,IS,12,FLATLINE,0,False,19.5,-19.5,30.25,-0.0,0.0,-30.25,15.67,20.0,False,False,False
melody,0,13,1735804800,1735805700,2025-01-02T08:00:00+00:00,2025-01-02T08:15:00+00:00,15.0,0.5907,14.285,0.979,0.796,FLATLINE,0.0,2.916,8,64.0,2025_01_02,IS,13,EXPONENTIAL_DOWN,-1,False,64.0,-64.0,66.25,-2.5,2.5,-66.25,14.17,,False,False,False
melody,1,0,1735805700,1735806300,2025-01-02T08:15:00+00:00,2025-01-02T08:25:00+00:00,10.0,0.5917,25.015,0.959,0.6,FLATLINE,0.0,1.862,8,-40.75,2025_01_02,IS,0,NONE,0,False,-40.75,40.75,0.0,-40.75,40.75,-0.0,10.0,,False,False,False
melody,1,1,1735806300,1735807500,2025-01-02T08:25:00+00:00,2025-01-02T08:45:00+00:00,20.0,-0.3653,29.257,1.0,0.085,FLATLINE,0.0,2.002,8,-35.25,2025_01_02,IS,1,FLATLINE,-1,False,35.25,-35.25,54.25,-1.75,1.75,-54.25,9.25,10.33,False,False,False
melody,2,0,1735807500,1735808700,2025-01-02T08:45:00+00:00,2025-01-02T09:05:00+00:00,20.0,-0.8958,30.604,0.751,0.058,FLATLINE,0.0,1.022,8,17.75,2025_01_02,IS,0,NONE,2,False,-17.75,17.75,5.25,-38.0,38.0,-5.25,13.75,14.67,False,False,False
melody,2,1,1735808700,1735811400,2025-01-02T09:05:00+00:00,2025-01-02T09:50:00+00:00,45.0,0.7722,17.494,0.183,0.023,LOGARITHMIC_UP,0.971,2.379,9,34.5,2025_01_02,IS,1,FLATLINE,1,False,34.5,-34.5,42.25,-0.5,0.5,-42.25,12.67,16.83,False,False,False
melody,2,2,1735811400,1735811700,2025-01-02T09:50:00+00:00,2025-01-02T09:55:00+00:00,5.0,-0.0278,8.991,0.022,0.732,FLATLINE,0.0,1.221,9,-12.0,2025_01_02,IS,2,LOGARITHMIC_UP,0,False,12.0,-12.0,16.75,-0.0,0.0,-16.75,4.33,,False,False,False
melody,2,3,1735811700,1735812000,2025-01-02T09:55:00+00:00,2025-01-02T10:00:00+00:00,5.0,0.1389,9.104,0.103,0.762,FLATLINE,0.0,1.464,9,21.0,2025_01_02,IS,3,FLATLINE,-1,False,21.0,-21.0,21.0,-1.25,1.25,-21.0,5.0,,False,False,False
melody,3,0,1735812000,1735813200,2025-01-02T10:00:00+00:00,2025-01-02T10:20:00+00:00,20.0,-0.2264,9.807,0.002,0.622,FLATLINE,0.0,3.406,10,-22.5,2025_01_02,IS,0,NONE,6,False,22.5,-22.5,45.75,-3.25,3.25,-45.75,13.83,15.08,False,False,False
melody,3,1,1735813200,1735813500,2025-01-02T10:20:00+00:00,2025-01-02T10:25:00+00:00,5.0,0.25,11.067,0.419,0.004,FLATLINE,0.0,0.901,10,-1.0,2025_01_02,IS,1,FLATLINE,5,False,-1.0,1.0,7.0,-6.25,6.25,-7.0,2.25,4.25,False,False,False
melody,3,2,1735813500,1735813800,2025-01-02T10:25:00+00:00,2025-01-02T10:30:00+00:00,5.0,-0.0889,9.493,0.34,0.184,FLATLINE,0.0,1.264,10,0.25,2025_01_02,IS,2,FLATLINE,4,False,-0.25,0.25,6.0,-7.0,7.0,-6.0,1.83,,False,False,False
melody,3,3,1735813800,1735814400,2025-01-02T10:30:00+00:00,2025-01-02T10:40:00+00:00,10.0,0.1806,9.565,0.466,0.775,FLATLINE,0.0,1.58,10,16.25,2025_01_02,IS,3,FLATLINE,3,False,16.25,-16.25,20.5,-1.0,1.0,-20.5,7.58,8.5,False,False,False
melody,3,4,1735814400,1735814700,2025-01-02T10:40:00+00:00,2025-01-02T10:45:00+00:00,5.0,-0.1222,10.242,0.64,-0.014,FLATLINE,0.0,0.891,10,-1.5,2025_01_02,IS,4,FLATLINE,2,False,1.5,-1.5,5.75,-0.0,0.0,-5.75,3.83,4.0,False,False,False
melody,3,5,1735814700,1735815000,2025-01-02T10:45:00+00:00,2025-01-02T10:50:00+00:00,5.0,0.0556,9.588,0.562,-0.011,FLATLINE,0.0,1.226,10,-0.25,2025_01_02,IS,5,FLATLINE,1,False,-0.25,0.25,3.5,-2.5,2.5,-3.5,4.0,,False,False,False
melody,3,6,1735815000,1735815300,2025-01-02T10:50:00+00:00,2025-01-02T10:55:00+00:00,5.0,-0.3278,9.813,0.716,0.561,FLATLINE,0.0,2.374,10,-17.0,2025_01_02,IS,6,FLATLINE,0,False,17.0,-17.0,31.0,-1.0,1.0,-31.0,2.83,3.92,False,False,False
melody,3,7,1735815300,1735815600,2025-01-02T10:55:00+00:00,2025-01-02T11:00:00+00:00,5.0,0.6056,10.281,0.827,0.785,FLATLINE,0.0,1.004,10,18.5,2025_01_02,IS,7,FLATLINE,-1,False,18.5,-18.5,18.5,0.0,-0.0,-18.5,5.0,,False,False,False
melody,4,0,1735815600,1735817400,2025-01-02T11:00:00+00:00,2025-01-02T11:30:00+00:00,30.0,0.0991,7.822,0.041,0.7,FLATLINE,0.0,2.368,11,1.5,2025_01_02,IS,0,NONE,4,False,1.5,-1.5,8.0,-27.0,27.0,-8.0,2.0,19.0,False,False,False
melody,4,1,1735817400,1735817700,2025-01-02T11:30:00+00:00,2025-01-02T11:35:00+00:00,5.0,-0.15,8.327,0.496,0.744,FLATLINE,0.0,0.917,11,-10.25,2025_01_02,IS,1,FLATLINE,3,False,10.25,-10.25,14.0,-1.0,1.0,-14.0,3.83,,False,False,False
melody,4,2,1735817700,1735821600,2025-01-02T11:35:00+00:00,2025-01-02T12:40:00+00:00,65.0,1.2513,19.882,0.98,0.766,LINEAR_UP,0.991,4.322,11,87.5,2025_01_02,IS,2,FLATLINE,2,False,87.5,-87.5,99.75,0.0,-0.0,-99.75,41.67,,True,True,False
melody,4,3,1735821600,1735824600,2025-01-02T12:40:00+00:00,2025-01-02T13:30:00+00:00,50.0,-0.8306,14.6,0.536,0.55,EXPONENTIAL_DOWN,0.991,4.528,12,-56.0,2025_01_02,IS,3,LINEAR_UP,1,False,56.0,-56.0,67.0,-5.0,5.0,-67.0,45.92,,False,False,False
melody,4,4,1735824600,1735825500,2025-01-02T13:30:00+00:00,2025-01-02T13:45:00+00:00,15.0,0.2537,10.447,0.353,0.89,FLATLINE,0.0,2.69,13,37.25,2025_01_02,IS,4,EXPONENTIAL_DOWN,0,False,37.25,-37.25,43.5,-12.25,12.25,-43.5,14.25,,False,False,False
melody,4,5,1735825500,1735826400,2025-01-02T13:45:00+00:00,2025-01-02T14:00:00+00:00,15.0,-0.2296,13.81,0.352,0.696,FLATLINE,0.0,1.583,13,-44.25,2025_01_02,IS,5,FLATLINE,-1,False,44.25,-44.25,45.5,-0.0,0.0,-45.5,13.92,,False,False,False
melody,5,0,1735826400,1735829400,2025-01-02T14:00:00+00:00,2025-01-02T14:50:00+00:00,50.0,-2.4856,41.632,0.917,0.694,EXPONENTIAL_DOWN,0.993,6.029,14,-110.25,2025_01_02,IS,0,NONE,12,False,110.25,-110.25,246.25,-0.0,0.0,-246.25,40.08,43.17,False,False,False
melody,5,1,1735829400,1735831800,2025-01-02T14:50:00+00:00,2025-01-02T15:30:00+00:00,40.0,1.2847,81.945,1.0,0.122,FLATLINE,0.0,1.522,14,-26.0,2025_01_02,IS,1,EXPONENTIAL_DOWN,11,False,-26.0,26.0,138.0,-47.0,47.0,-138.0,16.25,34.67,False,False,False
melody,5,2,1735831800,1735834500,2025-01-02T15:30:00+00:00,2025-01-02T16:15:00+00:00,45.0,-2.2648,55.858,0.189,0.073,LINEAR_DOWN,0.99,2.727,15,-31.75,2025_01_02,IS,2,FLATLINE,10,False,31.75,-31.75,89.75,-49.75,49.75,-89.75,34.17,35.0,False,False,False
melody,5,3,1735834500,1735835700,2025-01-02T16:15:00+00:00,2025-01-02T16:35:00+00:00,20.0,0.5236,35.055,0.418,0.642,FLATLINE,0.0,0.974,16,52.5,2025_01_02,IS,3,LINEAR_DOWN,9,False,52.5,-52.5,54.5,-19.75,19.75,-54.5,15.58,16.42,False,False,False
melody,5,4,1735835700,1735836000,2025-01-02T16:35:00+00:00,2025-01-02T16:40:00+00:00,5.0,-0.2778,36.06,0.606,-0.012,FLATLINE,0.0,1.469,16,0.75,2025_01_02,IS,4,FLATLINE,8,False,-0.75,0.75,9.0,-23.0,23.0,-9.0,4.5,4.58,False,False,False
melody,5,5,1735836000,1735838400,2025-01-02T16:40:00+00:00,2025-01-02T17:20:00+00:00,40.0,1.1382,26.17,0.001,0.05,LOGARITHMIC_UP,0.975,2.183,16,-3.5,2025_01_02,IS,5,FLATLINE,7,False,-3.5,3.5,56.25,-15.5,15.5,-56.25,11.83,28.33,False,False,False
melody,5,6,1735838400,1735842300,2025-01-02T17:20:00+00:00,2025-01-02T18:25:00+00:00,65.0,-4.1868,72.032,0.979,0.535,LINEAR_DOWN,0.99,5.443,17,-250.75,2025_01_02,IS,6,LOGARITHMIC_UP,6,False,250.75,-250.75,307.75,-0.0,0.0,-307.75,30.0,,True,True,False
melody,5,7,1735842300,1735842600,2025-01-02T18:25:00+00:00,2025-01-02T18:30:00+00:00,5.0,0.3167,25.503,0.022,0.443,FLATLINE,0.0,0.962,18,7.75,2025_01_02,IS,7,LINEAR_DOWN,5,False,7.75,-7.75,20.0,-14.25,14.25,-20.0,4.58,5.0,False,False,False
melody,5,8,1735842600,1735843500,2025-01-02T18:30:00+00:00,2025-01-02T18:45:00+00:00,15.0,-0.2889,27.04,0.272,0.12,FLATLINE,0.0,1.809,18,9.25,2025_01_02,IS,8,FLATLINE,4,False,-9.25,9.25,59.25,-10.5,10.5,-59.25,5.58,,False,False,False
melody,5,9,1735843500,1735843800,2025-01-02T18:45:00+00:00,2025-01-02T18:50:00+00:00,5.0,0.3722,26.083,0.189,0.743,FLATLINE,0.0,0.985,18,-34.25,2025_01_02,IS,9,FLATLINE,3,False,-34.25,34.25,0.0,-50.0,50.0,-0.0,4.33,,False,False,False
melody,5,10,1735843800,1735844100,2025-01-02T18:50:00+00:00,2025-01-02T18:55:00+00:00,5.0,-1.6889,24.223,0.022,0.787,FLATLINE,0.0,2.027,18,-11.75,2025_01_02,IS,10,FLATLINE,2,False,11.75,-11.75,37.25,-0.0,0.0,-37.25,4.25,4.83,False,False,False
melody,5,11,1735844100,1735847700,2025-01-02T18:55:00+00:00,2025-01-02T19:55:00+00:00,60.0,1.1069,27.447,1.0,0.659,EXPONENTIAL_UP,0.987,3.154,18,104.5,2025_01_02,IS,11,FLATLINE,1,False,104.5,-104.5,124.75,-9.75,9.75,-124.75,57.5,,False,True,False
melody,5,12,1735847700,1735848000,2025-01-02T19:55:00+00:00,2025-01-02T20:00:00+00:00,5.0,-0.0556,20.187,0.189,0.911,FLATLINE,0.0,1.935,19,-48.75,2025_01_02,IS,12,EXPONENTIAL_UP,0,False,48.75,-48.75,62.0,-1.0,1.0,-62.0,4.75,,False,False,False
melody,5,13,1735848000,1735848900,2025-01-02T20:00:00+00:00,2025-01-02T20:15:00+00:00,15.0,0.9278,21.717,0.439,0.903,FLATLINE,0.0,2.992,20,79.0,2025_01_02,IS,13,FLATLINE,-1,False,79.0,-79.0,102.0,0.0,-0.0,-102.0,13.92,,False,False,False
melody,6,0,1735848900,1735854300,2025-01-02T20:15:00+00:00,2025-01-02T21:45:00+00:00,90.0,0.8735,21.623,0.026,0.622,LINEAR_UP,0.991,3.717,20,34.25,2025_01_02,IS,0,NONE,2,False,34.25,-34.25,51.75,-29.0,29.0,-51.75,74.25,80.42,False,True,False
melody,6,1,1735854300,1735854600,2025-01-02T21:45:00+00:00,2025-01-02T21:50:00+00:00,5.0,-0.1444,5.423,0.014,0.025,FLATLINE,0.0,1.626,21,-2.5,2025_01_02,IS,1,LINEAR_UP,1,False,2.5,-2.5,4.0,-1.0,1.0,-4.0,1.25,1.42,False,False,False
