tf,c1,c2,regime_2d,r_h1,r_h2,delta,abs_delta,sign_flip,n_h1,n_h2,abs_max
1m,price_velocity_w,SE_high_w,FLAT_SMOOTH,-0.20134444033241217,0.6767169901214806,0.8780614304538927,0.8780614304538927,True,5714,4176,0.6767169901214806
1m,price_velocity_w,price_sigma_w,FLAT_SMOOTH,-0.2931859021666499,0.6619106678384608,0.9550965700051106,0.9550965700051106,True,5714,4176,0.6619106678384608
1m,price_velocity_w,SE_low_w,FLAT_SMOOTH,-0.29110893879888455,0.6549340689496234,0.9460430077485079,0.9460430077485079,True,5714,4176,0.6549340689496234
1h,price_mean_w,price_sigma_w,DOWN_SMOOTH,-0.6529060321004879,0.12569200574144002,0.7785980378419279,0.7785980378419279,True,2778,1884,0.6529060321004879
1h,price_sigma_w,vwap_w,DOWN_SMOOTH,-0.6503144000327122,0.1033457818700804,0.7536601819027926,0.7536601819027926,True,2778,1884,0.6503144000327122
1h,vol_sigma_w,SE_low_w,FLAT_SMOOTH,0.6127006093432936,-0.08821034789049752,-0.7009109572337912,0.7009109572337912,True,5574,4176,0.6127006093432936
1h,vol_sigma_w,SE_high_w,FLAT_SMOOTH,0.5991527625517993,-0.11930502940787124,-0.7184577919596705,0.7184577919596705,True,5574,4176,0.5991527625517993
1h,price_sigma_w,vol_mean_w,FLAT_SMOOTH,0.5947760075606633,-0.14516074727068215,-0.7399367548313455,0.7399367548313455,True,5574,4176,0.5947760075606633
15m,price_velocity_w,swing_noise_w,FLAT_SMOOTH,-0.21345924672552946,0.590327398791501,0.8037866455170304,0.8037866455170304,True,5628,4176,0.590327398791501
1h,price_velocity_w,price_mean_w,DOWN_SMOOTH,0.5618571238016445,-0.09727576469912869,-0.6591328885007732,0.6591328885007732,True,2778,1884,0.5618571238016445
1h,price_velocity_w,vwap_w,DOWN_SMOOTH,0.5615208487760702,-0.08542111256446297,-0.6469419613405332,0.6469419613405332,True,2778,1884,0.5615208487760702
1m,price_velocity_w,swing_noise_w,FLAT_SMOOTH,-0.21045050530595905,0.5530113885369266,0.7634618938428857,0.7634618938428857,True,5712,4176,0.5530113885369266
1h,price_velocity_w,SE_low_w,UP_CHOPPY,-0.2596331268109288,0.5251880388937537,0.7848211657046824,0.7848211657046824,True,996,2928,0.5251880388937537
1h,price_sigma_w,vol_sigma_w,FLAT_SMOOTH,0.5000001242366967,-0.14131184459688284,-0.6413119688335795,0.6413119688335795,True,5574,4176,0.5000001242366967
5m,price_velocity_w,swing_noise_w,FLAT_SMOOTH,-0.18935272974674797,0.4973295927427109,0.6866823224894588,0.6866823224894588,True,5688,4176,0.4973295927427109
1h,price_sigma_w,hurst_w,UP_CHOPPY,0.46461648128335503,-0.11632461841291668,-0.5809410996962717,0.5809410996962717,True,996,2928,0.46461648128335503
1h,price_velocity_w,price_sigma_w,FLAT_CHOPPY,-0.45200271594069286,0.268110179261768,0.7201128952024609,0.7201128952024609,True,8736,9579,0.45200271594069286
1h,vol_mean_w,swing_noise_w,DOWN_CHOPPY,0.4256991915339701,-0.06741403759921925,-0.4931132291331894,0.4931132291331894,True,1716,1272,0.4256991915339701
1h,SE_high_w,hurst_w,UP_CHOPPY,0.4208610435390155,-0.16286928511222748,-0.583730328651243,0.583730328651243,True,996,2928,0.4208610435390155
1h,price_velocity_w,SE_low_w,FLAT_CHOPPY,-0.4080059588098263,0.19223807026538395,0.6002440290752102,0.6002440290752102,True,8736,9579,0.4080059588098263
1h,price_velocity_1b,reversion_prob_w,FLAT_SMOOTH,0.3047153624549015,-0.39379856309420697,-0.6985139255491084,0.6985139255491084,True,5574,4176,0.39379856309420697
1h,price_velocity_w,swing_noise_w,DOWN_CHOPPY,-0.38592913389542843,0.17800786733261642,0.5639370012280449,0.5639370012280449,True,1716,1272,0.38592913389542843
1h,vol_sigma_w,hurst_w,DOWN_SMOOTH,-0.11889924049512099,0.37501883656990037,0.49391807706502133,0.49391807706502133,True,2778,1884,0.37501883656990037
1h,price_velocity_w,SE_high_w,FLAT_CHOPPY,-0.36705914469623213,0.2907060698507623,0.6577652145469944,0.6577652145469944,True,8736,9579,0.36705914469623213
1h,vol_mean_w,swing_noise_w,FLAT_SMOOTH,0.36063016130246145,-0.2400087857211438,-0.6006389470236053,0.6006389470236053,True,5358,4176,0.36063016130246145
1h,price_accel_w,reversion_prob_w,FLAT_SMOOTH,0.2298179506612191,-0.35820144125771003,-0.5880193919189292,0.5880193919189292,True,5550,4176,0.35820144125771003
1h,price_velocity_w,swing_noise_w,FLAT_CHOPPY,-0.3510488390492188,0.16558789144891914,0.516636730498138,0.516636730498138,True,8736,9579,0.3510488390492188
15m,hurst_w,swing_noise_w,UP_CHOPPY,-0.3271069907792583,0.050482886044963385,0.3775898768242217,0.3775898768242217,True,996,2928,0.3271069907792583
1h,price_mean_w,vol_sigma_w,UP_CHOPPY,-0.3197298961949304,0.11990952591089303,0.43963942210582346,0.43963942210582346,True,996,2928,0.3197298961949304
1h,vol_sigma_w,swing_noise_w,FLAT_SMOOTH,0.31595292784824053,-0.22785086638907573,-0.5438037942373163,0.5438037942373163,True,5358,4176,0.31595292784824053
1h,price_velocity_1b,SE_low_w,FLAT_SMOOTH,-0.0795708450247656,0.31128630043837935,0.39085714546314493,0.39085714546314493,True,5574,4176,0.31128630043837935
1h,vol_sigma_w,vwap_w,UP_CHOPPY,-0.3106792135495665,0.12028211420530288,0.4309613277548694,0.4309613277548694,True,996,2928,0.3106792135495665
1h,price_velocity_w,hurst_w,UP_CHOPPY,0.30445572380603897,-0.3038169823031126,-0.6082727061091515,0.6082727061091515,True,996,2928,0.30445572380603897
5s,price_velocity_w,SE_high_w,UP_CHOPPY,-0.29130606965961325,0.06144991400107433,0.3527559836606876,0.3527559836606876,True,996,2928,0.29130606965961325
1h,price_sigma_w,hurst_w,DOWN_CHOPPY,-0.06379314668789732,0.2829058107389823,0.3466989574268796,0.3466989574268796,True,1716,1272,0.2829058107389823
15m,price_velocity_w,vwap_w,DOWN_SMOOTH,0.2821045957910134,-0.08959404712549819,-0.37169864291651156,0.37169864291651156,True,2778,1884,0.2821045957910134
5m,price_velocity_1b,SE_low_w,FLAT_SMOOTH,-0.13310321563072716,0.2794246485795302,0.41252786421025733,0.41252786421025733,True,5709,4176,0.2794246485795302
15m,price_velocity_w,price_mean_w,DOWN_SMOOTH,0.2791233851658762,-0.09725176470620146,-0.37637514987207765,0.37637514987207765,True,2778,1884,0.2791233851658762
1h,SE_low_w,hurst_w,UP_CHOPPY,0.2769118980572947,-0.18191976395365395,-0.45883166201094866,0.45883166201094866,True,996,2928,0.2769118980572947
1h,SE_low_w,hurst_w,DOWN_CHOPPY,-0.27431013972332136,0.11951352933396922,0.3938236690572906,0.3938236690572906,True,1716,1272,0.27431013972332136
15m,vwap_w,hurst_w,UP_CHOPPY,0.2716003639894557,-0.16238239043927158,-0.43398275442872725,0.43398275442872725,True,996,2928,0.2716003639894557
15m,price_velocity_1b,SE_low_w,FLAT_SMOOTH,-0.12117019587522397,0.27009601907987746,0.39126621495510144,0.39126621495510144,True,5682,4176,0.27009601907987746
15m,price_mean_w,hurst_w,UP_CHOPPY,0.26865414573338703,-0.16171493300177292,-0.43036907873515995,0.43036907873515995,True,996,2928,0.26865414573338703
1h,price_velocity_1b,vol_accel_1b,UP_CHOPPY,0.2650729680571142,-0.05951181136362238,-0.3245847794207366,0.3245847794207366,True,996,2928,0.2650729680571142
1h,vol_accel_1b,body,UP_CHOPPY,0.26212171065354284,-0.05978585245400772,-0.32190756310755053,0.32190756310755053,True,996,2928,0.26212171065354284
1h,price_accel_1b,reversion_prob_w,FLAT_SMOOTH,0.2065058093758763,-0.25098098824001513,-0.4574867976158914,0.4574867976158914,True,5574,4176,0.25098098824001513
1h,vol_sigma_w,vwap_w,DOWN_SMOOTH,-0.24204468131525503,0.07210472952368269,0.3141494108389377,0.3141494108389377,True,2778,1884,0.24204468131525503
1h,z_high_w,SE_low_w,UP_CHOPPY,0.23771890811149954,-0.20986797764539952,-0.4475868857568991,0.4475868857568991,True,996,2928,0.23771890811149954
1h,z_low_w,SE_low_w,UP_CHOPPY,0.23764598486016203,-0.06886329344679273,-0.30650927830695474,0.30650927830695474,True,996,2928,0.23764598486016203
1h,vol_velocity_w,hurst_w,DOWN_CHOPPY,-0.13861253249590894,0.23475602889132183,0.37336856138723074,0.37336856138723074,True,1716,1272,0.23475602889132183
1h,z_se_w,SE_low_w,UP_CHOPPY,0.23182665355385315,-0.19920927107549596,-0.43103592462934914,0.43103592462934914,True,996,2928,0.23182665355385315
1h,vol_sigma_w,hurst_w,DOWN_CHOPPY,-0.05578642055349538,0.23100440941945474,0.28679082997295013,0.28679082997295013,True,1716,1272,0.23100440941945474
1h,price_accel_w,swing_noise_w,FLAT_SMOOTH,-0.10512720827214338,0.2294516651384918,0.3345788734106352,0.3345788734106352,True,5358,4176,0.2294516651384918
1h,price_mean_w,vol_sigma_w,DOWN_SMOOTH,-0.22491564233136674,0.0873494264636818,0.31226506879504856,0.31226506879504856,True,2778,1884,0.22491564233136674
1h,vwap_w,hurst_w,UP_SMOOTH,-0.2224563460070114,0.07235200394189199,0.29480834994890337,0.29480834994890337,True,3324,3822,0.2224563460070114
15m,price_velocity_1b,reversion_prob_w,FLAT_SMOOTH,0.15169021891016937,-0.22231087414004452,-0.3740010930502139,0.3740010930502139,True,5682,4176,0.22231087414004452
1h,price_mean_w,hurst_w,UP_SMOOTH,-0.21996810182080337,0.07362607007789089,0.29359417189869425,0.29359417189869425,True,3324,3822,0.21996810182080337
5m,price_velocity_1b,price_sigma_w,FLAT_SMOOTH,-0.08603775453249225,0.21256243872550323,0.29860019325799547,0.29860019325799547,True,5709,4176,0.21256243872550323
1h,vol_sigma_w,vwap_w,FLAT_CHOPPY,-0.20422732333036436,0.07935839176824039,0.28358571509860475,0.28358571509860475,True,8736,9579,0.20422732333036436
15m,price_velocity_1b,price_sigma_w,FLAT_SMOOTH,-0.07385762315466109,0.20377154968704042,0.2776291728417015,0.2776291728417015,True,5682,4176,0.20377154968704042
1h,SE_high_w,hurst_w,DOWN_CHOPPY,-0.20272347856192127,0.14065872100106533,0.3433821995629866,0.3433821995629866,True,1716,1272,0.20272347856192127
1h,z_low_w,reversion_prob_w,UP_CHOPPY,0.2015013097273245,-0.1790056684651176,-0.38050697819244206,0.38050697819244206,True,996,2928,0.2015013097273245
15m,price_velocity_w,hurst_w,UP_CHOPPY,-0.20146393931829218,0.06904938901502489,0.2705133283333171,0.2705133283333171,True,996,2928,0.20146393931829218
1h,price_sigma_w,z_se_w,UP_CHOPPY,0.07158979029446796,-0.2008555478776825,-0.27244533817215044,0.27244533817215044,True,996,2928,0.2008555478776825
1h,price_mean_w,vol_sigma_w,FLAT_CHOPPY,-0.19590975095608532,0.08652100780674654,0.28243075876283186,0.28243075876283186,True,8736,9579,0.19590975095608532
1h,bar_range,hurst_w,DOWN_CHOPPY,-0.17107299720871857,0.1955357990766287,0.36660879628534726,0.36660879628534726,True,1716,1272,0.1955357990766287
5m,price_accel_w,SE_low_w,FLAT_SMOOTH,-0.06799408961572108,0.19537073390744872,0.2633648235231698,0.2633648235231698,True,5707,4176,0.19537073390744872
1m,price_accel_1b,SE_high_w,UP_SMOOTH,0.19522803910100178,-0.06825805576384869,-0.2634860948648505,0.2634860948648505,True,3324,3822,0.19522803910100178
1h,vol_velocity_w,SE_low_w,UP_CHOPPY,-0.09284292721197517,0.1950066613329842,0.28784958854495934,0.28784958854495934,True,996,2928,0.1950066613329842
15m,vol_mean_w,vwap_w,DOWN_SMOOTH,-0.1928826069284466,0.10601749091948084,0.2989000978479275,0.2989000978479275,True,2778,1884,0.1928826069284466
15m,price_mean_w,vol_mean_w,DOWN_SMOOTH,-0.18885804772886752,0.1118777149582031,0.30073576268707064,0.30073576268707064,True,2778,1884,0.18885804772886752
15m,price_accel_w,SE_low_w,FLAT_SMOOTH,-0.06225553258900306,0.1853989152467429,0.24765444783574597,0.24765444783574597,True,5676,4176,0.1853989152467429
1m,body,swing_noise_w,UP_CHOPPY,-0.18435663795943544,0.059158769185917025,0.24351540714535247,0.24351540714535247,True,996,2928,0.18435663795943544
1m,price_velocity_1b,swing_noise_w,UP_CHOPPY,-0.18354665393281341,0.059430992991659846,0.24297764692447327,0.24297764692447327,True,996,2928,0.18354665393281341
1h,price_velocity_w,reversion_prob_w,FLAT_SMOOTH,0.08605717331533894,-0.1777567762760526,-0.26381394959139154,0.26381394959139154,True,5562,4176,0.1777567762760526
1h,price_sigma_w,z_high_w,UP_CHOPPY,0.0502746487042702,-0.1765060774006467,-0.2267807261049169,0.2267807261049169,True,996,2928,0.1765060774006467
5m,price_accel_w,vol_accel_w,UP_CHOPPY,0.17324008508157202,-0.08411464476917384,-0.25735472985074587,0.25735472985074587,True,996,2928,0.17324008508157202
5m,price_velocity_1b,vol_velocity_1b,UP_CHOPPY,0.17255356550380316,-0.0577342626733017,-0.23028782817710486,0.23028782817710486,True,996,2928,0.17255356550380316
5m,vol_velocity_1b,body,UP_CHOPPY,0.1716280082480531,-0.05949855620620776,-0.23112656445426086,0.23112656445426086,True,996,2928,0.1716280082480531
1m,price_accel_1b,price_sigma_w,UP_SMOOTH,0.16790699433241635,-0.06705747896891884,-0.23496447330133519,0.23496447330133519,True,3324,3822,0.16790699433241635
15m,price_accel_1b,reversion_prob_w,FLAT_SMOOTH,0.08134091301530465,-0.1649772139022794,-0.24631812691758403,0.24631812691758403,True,5682,4176,0.1649772139022794
1h,vol_mean_w,z_low_w,UP_CHOPPY,0.1348788961259863,-0.1634863751018675,-0.29836527122785383,0.29836527122785383,True,996,2928,0.1634863751018675
5m,price_velocity_1b,swing_noise_w,FLAT_SMOOTH,-0.053948929282719056,0.16161458135437834,0.2155635106370974,0.2155635106370974,True,5688,4176,0.16161458135437834
1h,SE_high_w,reversion_prob_w,FLAT_SMOOTH,0.08243098433482043,-0.15834625306147077,-0.2407772373962912,0.2407772373962912,True,5574,4176,0.15834625306147077
1h,vol_accel_1b,price_accel_w,UP_CHOPPY,0.15357228907604417,-0.07828318792669808,-0.23185547700274226,0.23185547700274226,True,996,2928,0.15357228907604417
1h,SE_low_w,reversion_prob_w,FLAT_SMOOTH,0.07304739365092495,-0.14948101976300404,-0.22252841341392898,0.22252841341392898,True,5574,4176,0.14948101976300404
15m,price_accel_w,reversion_prob_w,FLAT_SMOOTH,0.10820457507200511,-0.14575420406187375,-0.2539587791338789,0.2539587791338789,True,5676,4176,0.14575420406187375
5m,vol_mean_w,vwap_w,DOWN_SMOOTH,-0.14309738590823673,0.12166456296905044,0.26476194887728716,0.26476194887728716,True,2778,1884,0.14309738590823673
5s,bar_range,body,UP_CHOPPY,-0.14246117042566908,0.05534517883375445,0.19780634925942353,0.19780634925942353,True,996,2928,0.14246117042566908
5m,price_mean_w,vol_mean_w,DOWN_SMOOTH,-0.1421098103107913,0.12346396796313974,0.265573778273931,0.265573778273931,True,2778,1884,0.1421098103107913
1h,price_accel_w,swing_noise_w,UP_CHOPPY,0.142027550576636,-0.1064340088932061,-0.2484615594698421,0.2484615594698421,True,996,2928,0.142027550576636
1h,price_accel_w,SE_low_w,UP_CHOPPY,0.1397365684101152,-0.06497556077371322,-0.20471212918382842,0.20471212918382842,True,996,2928,0.1397365684101152
1h,price_velocity_1b,price_mean_w,DOWN_SMOOTH,0.13514416369361312,-0.05492888348104229,-0.1900730471746554,0.1900730471746554,True,2778,1884,0.13514416369361312
1m,vol_mean_w,vwap_w,DOWN_SMOOTH,-0.13396013120728195,0.11540894892485692,0.24936908013213888,0.24936908013213888,True,2778,1884,0.13396013120728195
1m,price_mean_w,vol_mean_w,DOWN_SMOOTH,-0.13354820688657232,0.11604616697772008,0.2495943738642924,0.2495943738642924,True,2778,1884,0.13354820688657232
1h,vol_accel_w,hurst_w,DOWN_SMOOTH,0.07575998381395019,-0.13312345458502226,-0.20888343839897244,0.20888343839897244,True,2778,1884,0.13312345458502226
1h,price_accel_w,swing_noise_w,DOWN_CHOPPY,0.13266096142992803,-0.10834932385775492,-0.24101028528768295,0.24101028528768295,True,1716,1272,0.13266096142992803
15m,price_accel_1b,bar_range,UP_CHOPPY,-0.0640649629886748,0.13153888024676982,0.1956038432354446,0.1956038432354446,True,996,2928,0.13153888024676982
1h,price_mean_w,reversion_prob_w,UP_CHOPPY,-0.07038074362870479,0.131164220509355,0.20154496413805978,0.20154496413805978,True,996,2928,0.131164220509355
1m,price_accel_1b,SE_low_w,UP_SMOOTH,0.13054357728233693,-0.06931606079598672,-0.19985963807832363,0.19985963807832363,True,3324,3822,0.13054357728233693
1h,body,vwap_w,DOWN_SMOOTH,0.13000295832310982,-0.07172699911380609,-0.2017299574369159,0.2017299574369159,True,2778,1884,0.13000295832310982
15m,price_velocity_w,hurst_w,DOWN_SMOOTH,0.1118933873712966,-0.12814874193085804,-0.24004212930215463,0.24004212930215463,True,2778,1884,0.12814874193085804
1h,vwap_w,reversion_prob_w,UP_CHOPPY,-0.07652651915703376,0.12765473518561318,0.20418125434264695,0.20418125434264695,True,996,2928,0.12765473518561318
5m,vol_velocity_1b,price_accel_w,UP_CHOPPY,0.12514513881855413,-0.07507528476630565,-0.20022042358485978,0.20022042358485978,True,996,2928,0.12514513881855413
1h,price_accel_w,hurst_w,DOWN_CHOPPY,0.07687824223145562,-0.12307143845544495,-0.19994968068690055,0.19994968068690055,True,1716,1272,0.12307143845544495
15m,bar_range,hurst_w,UP_SMOOTH,0.05020526436880039,-0.1211919332226623,-0.17139719759146269,0.17139719759146269,True,3324,3822,0.1211919332226623
1h,reversion_prob_w,swing_noise_w,DOWN_CHOPPY,0.11955271576675519,-0.08255341341622967,-0.20210612918298487,0.20210612918298487,True,1716,1272,0.11955271576675519
15m,hurst_w,swing_noise_w,DOWN_SMOOTH,-0.11643316957862876,0.07914820625684912,0.19558137583547788,0.19558137583547788,True,2778,1884,0.11643316957862876
1h,price_velocity_w,z_low_w,FLAT_SMOOTH,-0.11467529030094913,0.055025555488381395,0.16970084578933053,0.16970084578933053,True,5562,4176,0.11467529030094913
1h,z_se_w,hurst_w,UP_CHOPPY,-0.11285868569978133,0.09742337322365374,0.21028205892343507,0.21028205892343507,True,996,2928,0.11285868569978133
1h,body,price_mean_w,DOWN_SMOOTH,0.11255017056550803,-0.08180754654584128,-0.1943577171113493,0.1943577171113493,True,2778,1884,0.11255017056550803
1h,vol_mean_w,hurst_w,FLAT_CHOPPY,0.11247539707295827,-0.10500670440657797,-0.21748210147953623,0.21748210147953623,True,8736,9579,0.11247539707295827
5s,price_accel_1b,SE_low_w,UP_SMOOTH,0.11175669056487184,-0.06684015402717189,-0.17859684459204372,0.17859684459204372,True,3324,3822,0.11175669056487184
1h,vol_mean_w,z_high_w,DOWN_SMOOTH,-0.11128013508604576,0.0999863118846222,0.21126644697066796,0.21126644697066796,True,2778,1884,0.11128013508604576
1h,vol_accel_w,swing_noise_w,DOWN_CHOPPY,-0.10640988278905317,0.1108033254493799,0.21721320823843307,0.21721320823843307,True,1716,1272,0.1108033254493799
1h,bar_range,SE_high_w,DOWN_CHOPPY,0.06356226734612572,-0.11078486404458204,-0.17434713139070776,0.17434713139070776,True,1716,1272,0.11078486404458204
5s,price_accel_w,vol_sigma_w,DOWN_SMOOTH,0.07428404307063861,-0.10676162420891498,-0.1810456672795536,0.1810456672795536,True,2778,1884,0.10676162420891498
1h,z_low_w,swing_noise_w,UP_CHOPPY,0.10512814319712101,-0.05208198979480753,-0.15721013299192854,0.15721013299192854,True,996,2928,0.10512814319712101
1m,price_velocity_w,vol_velocity_w,UP_CHOPPY,0.10426822168129854,-0.06011307330415541,-0.16438129498545395,0.16438129498545395,True,996,2928,0.10426822168129854
1h,z_high_w,swing_noise_w,UP_CHOPPY,0.09031141630234199,-0.10381529644797723,-0.19412671275031923,0.19412671275031923,True,996,2928,0.10381529644797723
5s,vol_mean_w,vwap_w,DOWN_SMOOTH,-0.06594454764470861,0.10358096755477064,0.16952551519947925,0.16952551519947925,True,2778,1884,0.10358096755477064
5s,price_mean_w,vol_mean_w,DOWN_SMOOTH,-0.06596248401519732,0.10356662524105122,0.16952910925624853,0.16952910925624853,True,2778,1884,0.10356662524105122
1h,z_se_w,swing_noise_w,UP_CHOPPY,0.10120980077376564,-0.09412856264504567,-0.1953383634188113,0.1953383634188113,True,996,2928,0.10120980077376564
1h,price_velocity_1b,vol_mean_w,UP_CHOPPY,0.1000769994050871,-0.09037344981458072,-0.1904504492196678,0.1904504492196678,True,996,2928,0.1000769994050871
1h,vol_sigma_w,hurst_w,FLAT_CHOPPY,0.07426485979489884,-0.09939984235464762,-0.17366470214954646,0.17366470214954646,True,8736,9579,0.09939984235464762
5m,price_mean_w,hurst_w,UP_SMOOTH,0.09580915388876292,-0.06498907534253494,-0.16079822923129786,0.16079822923129786,True,3324,3822,0.09580915388876292
1h,z_se_w,SE_high_w,UP_CHOPPY,0.09580505982238693,-0.06845532510077838,-0.1642603849231653,0.1642603849231653,True,996,2928,0.09580505982238693
5m,vwap_w,hurst_w,UP_SMOOTH,0.09567850116967272,-0.06484254424230956,-0.16052104541198228,0.16052104541198228,True,3324,3822,0.09567850116967272
1h,body,vol_mean_w,UP_CHOPPY,0.09223851472592647,-0.09433142506164852,-0.18656993978757497,0.18656993978757497,True,996,2928,0.09433142506164852
5s,bar_range,body,FLAT_CHOPPY,-0.09422551798405929,0.05341540868383691,0.1476409266678962,0.1476409266678962,True,8736,9579,0.09422551798405929
1h,z_high_w,SE_high_w,UP_CHOPPY,0.09378309426689264,-0.06139319376639204,-0.15517628803328468,0.15517628803328468,True,996,2928,0.09378309426689264
1h,vol_accel_w,z_high_w,DOWN_SMOOTH,0.09303342062796281,-0.05459112841439181,-0.1476245490423546,0.1476245490423546,True,2778,1884,0.09303342062796281
1m,price_velocity_1b,reversion_prob_w,UP_CHOPPY,-0.07612730054875048,0.09262208663404503,0.16874938718279553,0.16874938718279553,True,996,2928,0.09262208663404503
5m,price_accel_w,SE_low_w,DOWN_SMOOTH,-0.09243369075762091,0.05373354268610311,0.146167233443724,0.146167233443724,True,2778,1884,0.09243369075762091
1h,vol_mean_w,z_high_w,DOWN_CHOPPY,-0.09228806034355438,0.06029582827636829,0.15258388861992267,0.15258388861992267,True,1716,1272,0.09228806034355438
1m,body,reversion_prob_w,UP_CHOPPY,-0.07677059092260842,0.09163490554817243,0.16840549647078085,0.16840549647078085,True,996,2928,0.09163490554817243
5s,price_accel_w,vol_mean_w,DOWN_SMOOTH,0.08251623096966573,-0.09140188497242357,-0.1739181159420893,0.1739181159420893,True,2778,1884,0.09140188497242357
15m,bar_range,hurst_w,UP_CHOPPY,-0.09130548565708968,0.061365903218210935,0.15267138887530063,0.15267138887530063,True,996,2928,0.09130548565708968
15m,bar_range,hurst_w,FLAT_CHOPPY,0.06267461557322572,-0.08947159395629489,-0.15214620952952063,0.15214620952952063,True,8736,9579,0.08947159395629489
1h,price_velocity_w,z_se_w,DOWN_CHOPPY,0.08592721824925201,-0.08584849417175003,-0.17177571242100204,0.17177571242100204,True,1716,1272,0.08592721824925201
5s,price_velocity_w,SE_high_w,DOWN_SMOOTH,-0.08482831476972377,0.05050525582562527,0.13533357059534903,0.13533357059534903,True,2778,1884,0.08482831476972377
5m,price_velocity_w,vol_velocity_w,UP_CHOPPY,0.07120739145186115,-0.0841566867674676,-0.15536407821932874,0.15536407821932874,True,996,2928,0.0841566867674676
1h,SE_low_w,hurst_w,UP_SMOOTH,0.08388071712531218,-0.0793084882365831,-0.1631892053618953,0.1631892053618953,True,3324,3822,0.08388071712531218
1h,vol_velocity_1b,swing_noise_w,DOWN_CHOPPY,-0.05873944117917481,0.08258469626037204,0.14132413743954686,0.14132413743954686,True,1716,1272,0.08258469626037204
1m,z_se_w,reversion_prob_w,UP_CHOPPY,-0.08189188677366104,0.06103046077637128,0.1429223475500323,0.1429223475500323,True,996,2928,0.08189188677366104
15m,price_velocity_w,price_mean_w,FLAT_SMOOTH,0.06623589802701134,-0.08044363237027975,-0.1466795303972911,0.1466795303972911,True,5679,4176,0.08044363237027975
1m,SE_low_w,hurst_w,UP_CHOPPY,0.050522101240946526,-0.07780728200359632,-0.12832938324454285,0.12832938324454285,True,996,2928,0.07780728200359632
5s,vol_accel_1b,price_velocity_w,DOWN_CHOPPY,-0.06084442512180949,0.07780067063340153,0.138645095755211,0.138645095755211,True,1716,1272,0.07780067063340153
1h,vol_velocity_w,SE_high_w,DOWN_SMOOTH,-0.07564071263645894,0.06153705614662144,0.13717776878308038,0.13717776878308038,True,2778,1884,0.07564071263645894
1h,vol_velocity_1b,hurst_w,DOWN_SMOOTH,0.06246827190057583,-0.07491667781265372,-0.13738494971322956,0.13738494971322956,True,2778,1884,0.07491667781265372
1h,price_velocity_w,z_se_w,FLAT_SMOOTH,-0.07452200268601736,0.06026490637937754,0.1347869090653949,0.1347869090653949,True,5562,4176,0.07452200268601736
5s,body,SE_low_w,FLAT_CHOPPY,-0.07440291489401656,0.06199448071932206,0.1363973956133386,0.1363973956133386,True,8736,9579,0.07440291489401656
1h,SE_high_w,hurst_w,UP_SMOOTH,0.07436428251431149,-0.05427760605684419,-0.12864188857115566,0.12864188857115566,True,3324,3822,0.07436428251431149
