**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,c1,c2,regime_2d,peak_shift,peak_corr,contemp_corr,role,abs_peak
5s,price_mean_w,vwap_w,FLAT_SMOOTH,0,0.9999999097088496,0.9999999097088496,contemporaneous,0.9999999097088496
5s,price_mean_w,vwap_w,DOWN_CHOPPY,0,0.9999998739397132,0.9999998739397132,contemporaneous,0.9999998739397132
5s,price_mean_w,vwap_w,UP_SMOOTH,0,0.9999998166990357,0.9999998166990357,contemporaneous,0.9999998166990357
5s,price_mean_w,vwap_w,DOWN_SMOOTH,0,0.9999997826729236,0.9999997826729236,contemporaneous,0.9999997826729236
5s,price_mean_w,vwap_w,FLAT_CHOPPY,0,0.999999782117315,0.999999782117315,contemporaneous,0.999999782117315
5s,price_mean_w,vwap_w,UP_CHOPPY,0,0.9999996720961531,0.9999996720961531,contemporaneous,0.9999996720961531
1m,price_mean_w,vwap_w,DOWN_CHOPPY,0,0.9999972134647572,0.9999972134647572,contemporaneous,0.9999972134647572
1m,price_mean_w,vwap_w,FLAT_CHOPPY,0,0.9999966952368257,0.9999966952368257,contemporaneous,0.9999966952368257
1m,price_mean_w,vwap_w,UP_CHOPPY,0,0.9999954923436216,0.9999954923436216,contemporaneous,0.9999954923436216
1m,price_mean_w,vwap_w,UP_SMOOTH,0,0.9999952595188408,0.9999952595188408,contemporaneous,0.9999952595188408
1m,price_mean_w,vwap_w,FLAT_SMOOTH,0,0.9999928187483961,0.9999928187483961,contemporaneous,0.9999928187483961
5m,price_mean_w,vwap_w,DOWN_CHOPPY,-1,0.9999923239804672,0.9999911979998658,X_lags_Y,0.9999923239804672
5m,price_mean_w,vwap_w,FLAT_CHOPPY,0,0.9999902008107887,0.9999902008107887,contemporaneous,0.9999902008107887
5m,price_mean_w,vwap_w,UP_SMOOTH,-1,0.9999881174288558,0.9999827518879315,X_lags_Y,0.9999881174288558
5m,price_mean_w,vwap_w,UP_CHOPPY,-1,0.9999872641955331,0.9999858185762062,X_lags_Y,0.9999872641955331
1m,price_mean_w,vwap_w,DOWN_SMOOTH,0,0.9999865004271343,0.9999865004271343,contemporaneous,0.9999865004271343
5m,price_mean_w,vwap_w,DOWN_SMOOTH,-1,0.9999833731295907,0.9999752795490459,X_lags_Y,0.9999833731295907
5m,price_mean_w,vwap_w,FLAT_SMOOTH,-2,0.9999822469810401,0.999969890880947,X_lags_Y,0.9999822469810401
15m,price_mean_w,vwap_w,DOWN_CHOPPY,-2,0.9999652688527062,0.9999623702843542,X_lags_Y,0.9999652688527062
15m,price_mean_w,vwap_w,FLAT_CHOPPY,0,0.99994660467312,0.99994660467312,contemporaneous,0.99994660467312
15m,price_mean_w,vwap_w,UP_CHOPPY,-4,0.9999359990774829,0.9999302381144302,X_lags_Y,0.9999359990774829
15m,price_mean_w,vwap_w,UP_SMOOTH,-2,0.999934688237242,0.9999254838321244,X_lags_Y,0.999934688237242
15m,price_mean_w,vwap_w,FLAT_SMOOTH,-4,0.9999286095516563,0.9998915980937116,X_lags_Y,0.9999286095516563
15m,price_mean_w,vwap_w,DOWN_SMOOTH,0,0.9999039951863778,0.9999039951863778,contemporaneous,0.9999039951863778
1h,price_mean_w,vwap_w,DOWN_CHOPPY,-12,0.999700151013544,0.9996858276886166,X_lags_Y,0.999700151013544
1h,price_mean_w,vwap_w,UP_CHOPPY,0,0.9996290437519229,0.9996290437519229,contemporaneous,0.9996290437519229
1h,price_mean_w,vwap_w,FLAT_CHOPPY,0,0.9995796586700537,0.9995796586700537,contemporaneous,0.9995796586700537
1h,price_mean_w,vwap_w,UP_SMOOTH,0,0.9994684311765047,0.9994684311765047,contemporaneous,0.9994684311765047
1h,price_mean_w,vwap_w,FLAT_SMOOTH,-12,0.9994336566254962,0.9993328832912897,X_lags_Y,0.9994336566254962
15m,price_velocity_1b,body,UP_CHOPPY,0,0.9993699257137529,0.9993699257137529,contemporaneous,0.9993699257137529
5m,price_velocity_1b,body,UP_CHOPPY,0,0.9991605591840047,0.9991605591840047,contemporaneous,0.9991605591840047
1h,price_mean_w,vwap_w,DOWN_SMOOTH,0,0.998968953493141,0.998968953493141,contemporaneous,0.998968953493141
1m,price_velocity_1b,body,UP_CHOPPY,0,0.9988652317311215,0.9988652317311215,contemporaneous,0.9988652317311215
1h,price_velocity_1b,body,UP_CHOPPY,0,0.9988435646940433,0.9988435646940433,contemporaneous,0.9988435646940433
1m,price_velocity_1b,body,DOWN_SMOOTH,0,0.9978481929109667,0.9978481929109667,contemporaneous,0.9978481929109667
1m,price_velocity_1b,body,DOWN_CHOPPY,0,0.997771077863479,0.997771077863479,contemporaneous,0.997771077863479
15m,price_velocity_1b,body,FLAT_CHOPPY,0,0.9975828183537699,0.9975828183537699,contemporaneous,0.9975828183537699
1h,price_velocity_1b,body,FLAT_CHOPPY,0,0.9975098059117202,0.9975098059117202,contemporaneous,0.9975098059117202
1m,price_velocity_1b,body,UP_SMOOTH,0,0.9972066995117673,0.9972066995117673,contemporaneous,0.9972066995117673
5m,price_velocity_1b,body,FLAT_CHOPPY,0,0.9970971258072183,0.9970971258072183,contemporaneous,0.9970971258072183
1m,price_velocity_1b,body,FLAT_CHOPPY,0,0.9968760672926762,0.9968760672926762,contemporaneous,0.9968760672926762
1m,price_velocity_1b,body,FLAT_SMOOTH,0,0.9954648604667334,0.9954648604667334,contemporaneous,0.9954648604667334
5m,price_velocity_1b,body,DOWN_CHOPPY,0,0.989337858880392,0.989337858880392,contemporaneous,0.989337858880392
15m,price_velocity_1b,body,DOWN_CHOPPY,0,0.9888468316318776,0.9888468316318776,contemporaneous,0.9888468316318776
