**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,c1,c2,regime_2d,peak_shift,peak_corr,contemp_corr,role,abs_peak
1h,price_velocity_1b,body,DOWN_CHOPPY,0,0.9886011685743019,0.9886011685743019,contemporaneous,0.9886011685743019
1h,price_velocity_1b,body,UP_SMOOTH,0,0.9802176408392421,0.9802176408392421,contemporaneous,0.9802176408392421
1h,SE_high_w,SE_low_w,UP_SMOOTH,12,0.9750156055991677,0.9394042637424349,X_leads_Y,0.9750156055991677
1m,SE_high_w,SE_low_w,UP_CHOPPY,0,0.9741459664707304,0.9741459664707304,contemporaneous,0.9741459664707304
15m,price_velocity_1b,body,UP_SMOOTH,0,0.972321947797709,0.972321947797709,contemporaneous,0.972321947797709
5m,price_velocity_1b,body,DOWN_SMOOTH,0,0.9697825134758388,0.9697825134758388,contemporaneous,0.9697825134758388
15m,price_velocity_1b,body,DOWN_SMOOTH,0,0.9696295206872126,0.9696295206872126,contemporaneous,0.9696295206872126
5m,price_velocity_1b,body,UP_SMOOTH,0,0.9683109439657934,0.9683109439657934,contemporaneous,0.9683109439657934
1h,price_velocity_1b,body,DOWN_SMOOTH,0,0.9674676915864538,0.9674676915864538,contemporaneous,0.9674676915864538
1m,SE_high_w,SE_low_w,FLAT_SMOOTH,0,0.9609827920203459,0.9609827920203459,contemporaneous,0.9609827920203459
1m,SE_high_w,SE_low_w,DOWN_SMOOTH,0,0.9577795513262455,0.9577795513262455,contemporaneous,0.9577795513262455
15m,SE_high_w,SE_low_w,DOWN_SMOOTH,0,0.9566838544767007,0.9566838544767007,contemporaneous,0.9566838544767007
15m,SE_high_w,SE_low_w,FLAT_SMOOTH,0,0.9508289573681723,0.9508289573681723,contemporaneous,0.9508289573681723
1m,SE_high_w,SE_low_w,UP_SMOOTH,0,0.9504288480234936,0.9504288480234936,contemporaneous,0.9504288480234936
5s,price_velocity_1b,body,UP_CHOPPY,0,0.9483012291646798,0.9483012291646798,contemporaneous,0.9483012291646798
1m,SE_high_w,SE_low_w,FLAT_CHOPPY,0,0.947326705338731,0.947326705338731,contemporaneous,0.947326705338731
5s,vol_velocity_1b,vol_accel_w,UP_SMOOTH,0,0.9463654750580511,0.9463654750580511,contemporaneous,0.9463654750580511
1m,SE_high_w,SE_low_w,DOWN_CHOPPY,0,0.9457044075458445,0.9457044075458445,contemporaneous,0.9457044075458445
5s,vol_velocity_1b,vol_accel_1b,UP_SMOOTH,0,0.945056403689974,0.945056403689974,contemporaneous,0.945056403689974
5s,vol_velocity_1b,vol_velocity_w,UP_SMOOTH,0,0.9433463621252434,0.9433463621252434,contemporaneous,0.9433463621252434
5s,vol_velocity_1b,vol_velocity_w,DOWN_CHOPPY,0,0.9410053304341659,0.9410053304341659,contemporaneous,0.9410053304341659
5m,SE_high_w,SE_low_w,FLAT_SMOOTH,0,0.9391434729883058,0.9391434729883058,contemporaneous,0.9391434729883058
1h,SE_high_w,SE_low_w,DOWN_SMOOTH,0,0.939074298877069,0.939074298877069,contemporaneous,0.939074298877069
5s,vol_velocity_1b,vol_accel_w,DOWN_CHOPPY,0,0.9387218673267511,0.9387218673267511,contemporaneous,0.9387218673267511
5m,SE_high_w,SE_low_w,UP_CHOPPY,0,0.9383450320384374,0.9383450320384374,contemporaneous,0.9383450320384374
15m,SE_high_w,SE_low_w,UP_SMOOTH,2,0.9378168791484751,0.9208842223309517,X_leads_Y,0.9378168791484751
5s,SE_high_w,SE_low_w,UP_CHOPPY,0,0.9357607063005835,0.9357607063005835,contemporaneous,0.9357607063005835
15m,price_sigma_w,SE_high_w,UP_SMOOTH,0,0.9352946027243542,0.9352946027243542,contemporaneous,0.9352946027243542
1m,price_sigma_w,SE_low_w,FLAT_SMOOTH,0,0.9346501090599851,0.9346501090599851,contemporaneous,0.9346501090599851
5s,vol_velocity_1b,vol_velocity_w,DOWN_SMOOTH,0,0.9343446492185818,0.9343446492185818,contemporaneous,0.9343446492185818
1h,SE_high_w,SE_low_w,FLAT_SMOOTH,0,0.9342986190493409,0.9342986190493409,contemporaneous,0.9342986190493409
5s,vol_mean_w,vol_sigma_w,DOWN_CHOPPY,0,0.9342150225307211,0.9342150225307211,contemporaneous,0.9342150225307211
15m,price_sigma_w,SE_low_w,FLAT_SMOOTH,0,0.9312752250336503,0.9312752250336503,contemporaneous,0.9312752250336503
5s,vol_velocity_1b,vol_accel_w,UP_CHOPPY,0,0.9292471573076254,0.9292471573076254,contemporaneous,0.9292471573076254
5s,vol_velocity_w,vol_accel_w,UP_SMOOTH,0,0.9283014322561733,0.9283014322561733,contemporaneous,0.9283014322561733
1h,price_sigma_w,SE_high_w,UP_SMOOTH,0,0.9274650393003704,0.9274650393003704,contemporaneous,0.9274650393003704
1m,price_sigma_w,SE_high_w,FLAT_SMOOTH,0,0.926864933341484,0.926864933341484,contemporaneous,0.926864933341484
15m,price_sigma_w,SE_high_w,FLAT_SMOOTH,0,0.9263088357586796,0.9263088357586796,contemporaneous,0.9263088357586796
5s,vol_mean_w,vol_sigma_w,UP_SMOOTH,0,0.9261843243836224,0.9261843243836224,contemporaneous,0.9261843243836224
5s,vol_mean_w,vol_sigma_w,FLAT_SMOOTH,0,0.9254236620125555,0.9254236620125555,contemporaneous,0.9254236620125555
5s,vol_velocity_1b,vol_accel_w,DOWN_SMOOTH,0,0.9252388305157837,0.9252388305157837,contemporaneous,0.9252388305157837
5s,vol_velocity_1b,vol_accel_1b,DOWN_CHOPPY,0,0.9251700281311727,0.9251700281311727,contemporaneous,0.9251700281311727
5s,vol_velocity_1b,vol_accel_1b,UP_CHOPPY,0,0.9250607936024355,0.9250607936024355,contemporaneous,0.9250607936024355
5s,vol_velocity_1b,vol_velocity_w,UP_CHOPPY,0,0.9249857449649375,0.9249857449649375,contemporaneous,0.9249857449649375
1h,vol_mean_w,vol_sigma_w,FLAT_SMOOTH,0,0.9243824061221767,0.9243824061221767,contemporaneous,0.9243824061221767
5s,vol_mean_w,vol_sigma_w,DOWN_SMOOTH,0,0.9226266030588823,0.9226266030588823,contemporaneous,0.9226266030588823
5s,price_velocity_1b,body,DOWN_CHOPPY,0,0.9210219886287393,0.9210219886287393,contemporaneous,0.9210219886287393
5m,SE_high_w,SE_low_w,DOWN_SMOOTH,0,0.9207245141887076,0.9207245141887076,contemporaneous,0.9207245141887076
5s,vol_velocity_w,vol_accel_w,DOWN_CHOPPY,0,0.9204779853493836,0.9204779853493836,contemporaneous,0.9204779853493836
5m,price_sigma_w,SE_low_w,FLAT_SMOOTH,0,0.9190572596946835,0.9190572596946835,contemporaneous,0.9190572596946835
15m,price_sigma_w,SE_high_w,UP_CHOPPY,0,0.918991848749456,0.918991848749456,contemporaneous,0.918991848749456
1h,vol_mean_w,vol_sigma_w,UP_CHOPPY,0,0.918917400248902,0.918917400248902,contemporaneous,0.918917400248902
1h,price_sigma_w,SE_low_w,UP_SMOOTH,12,0.9173352735814156,0.8873088675244148,X_leads_Y,0.9173352735814156
5s,vol_mean_w,vol_sigma_w,FLAT_CHOPPY,0,0.9170272732528747,0.9170272732528747,contemporaneous,0.9170272732528747
5m,price_sigma_w,SE_high_w,UP_SMOOTH,0,0.9168058113746436,0.9168058113746436,contemporaneous,0.9168058113746436
5m,SE_high_w,SE_low_w,UP_SMOOTH,0,0.9158712198860289,0.9158712198860289,contemporaneous,0.9158712198860289
5s,vol_mean_w,vol_sigma_w,UP_CHOPPY,0,0.9147064349943023,0.9147064349943023,contemporaneous,0.9147064349943023
5s,price_velocity_1b,body,UP_SMOOTH,0,0.9145356204955202,0.9145356204955202,contemporaneous,0.9145356204955202
5s,price_velocity_1b,body,DOWN_SMOOTH,0,0.9142910858408949,0.9142910858408949,contemporaneous,0.9142910858408949
15m,price_sigma_w,SE_low_w,UP_SMOOTH,2,0.9142291692195584,0.9112556674924202,X_leads_Y,0.9142291692195584
5m,price_sigma_w,SE_low_w,UP_CHOPPY,1,0.9136360165711394,0.9030032707610696,X_leads_Y,0.9136360165711394
1h,vol_mean_w,vol_sigma_w,DOWN_CHOPPY,0,0.9130994303111374,0.9130994303111374,contemporaneous,0.9130994303111374
15m,price_sigma_w,SE_low_w,UP_CHOPPY,2,0.9128534521673729,0.9117354142625282,X_leads_Y,0.9128534521673729
5s,vol_velocity_1b,vol_accel_1b,FLAT_SMOOTH,0,0.9124728788828461,0.9124728788828461,contemporaneous,0.9124728788828461
1m,price_sigma_w,swing_noise_w,UP_CHOPPY,0,0.9119942198086518,0.9119942198086518,contemporaneous,0.9119942198086518
5s,SE_high_w,SE_low_w,DOWN_SMOOTH,0,0.9113432081245464,0.9113432081245464,contemporaneous,0.9113432081245464
1m,price_sigma_w,SE_low_w,UP_SMOOTH,0,0.9094457029322858,0.9094457029322858,contemporaneous,0.9094457029322858
5m,price_sigma_w,SE_high_w,FLAT_SMOOTH,0,0.9084391424714131,0.9084391424714131,contemporaneous,0.9084391424714131
15m,price_sigma_w,SE_low_w,DOWN_SMOOTH,0,0.9082949165030745,0.9082949165030745,contemporaneous,0.9082949165030745
15m,SE_high_w,SE_low_w,FLAT_CHOPPY,0,0.9081488090968524,0.9081488090968524,contemporaneous,0.9081488090968524
1h,vol_mean_w,vol_sigma_w,FLAT_CHOPPY,0,0.9079115218290984,0.9079115218290984,contemporaneous,0.9079115218290984
5s,vol_velocity_w,vol_accel_w,UP_CHOPPY,0,0.9074988204997576,0.9074988204997576,contemporaneous,0.9074988204997576
1h,price_sigma_w,SE_high_w,FLAT_SMOOTH,0,0.907333505507981,0.907333505507981,contemporaneous,0.907333505507981
1h,price_sigma_w,SE_high_w,UP_CHOPPY,0,0.9065781138625852,0.9065781138625852,contemporaneous,0.9065781138625852
5s,vol_velocity_1b,vol_accel_1b,FLAT_CHOPPY,0,0.9049234781055648,0.9049234781055648,contemporaneous,0.9049234781055648
5s,vol_velocity_w,vol_accel_w,DOWN_SMOOTH,0,0.9047785907975098,0.9047785907975098,contemporaneous,0.9047785907975098
1h,SE_high_w,SE_low_w,FLAT_CHOPPY,0,0.9047144509016957,0.9047144509016957,contemporaneous,0.9047144509016957
5s,vol_velocity_1b,vol_accel_1b,DOWN_SMOOTH,0,0.9046748051637108,0.9046748051637108,contemporaneous,0.9046748051637108
1m,price_sigma_w,SE_low_w,DOWN_SMOOTH,0,0.9043363835371288,0.9043363835371288,contemporaneous,0.9043363835371288
5m,price_sigma_w,SE_high_w,UP_CHOPPY,1,0.9026612038102744,0.8992962040499959,X_leads_Y,0.9026612038102744
5s,price_velocity_1b,body,FLAT_SMOOTH,0,0.9021687147621976,0.9021687147621976,contemporaneous,0.9021687147621976
15m,SE_high_w,SE_low_w,DOWN_CHOPPY,0,0.9020793211738565,0.9020793211738565,contemporaneous,0.9020793211738565
1h,SE_high_w,swing_noise_w,UP_SMOOTH,12,0.9011833201195921,0.8876945135284029,X_leads_Y,0.9011833201195921
5s,vol_velocity_1b,vol_accel_w,FLAT_CHOPPY,0,0.9009902741705923,0.9009902741705923,contemporaneous,0.9009902741705923
5s,vol_accel_1b,vol_accel_w,UP_SMOOTH,0,0.8993999132003073,0.8993999132003073,contemporaneous,0.8993999132003073
5s,SE_high_w,SE_low_w,UP_SMOOTH,0,0.8986754611739839,0.8986754611739839,contemporaneous,0.8986754611739839
1h,price_sigma_w,SE_low_w,FLAT_SMOOTH,0,0.8974339965622979,0.8974339965622979,contemporaneous,0.8974339965622979
1m,price_sigma_w,SE_high_w,UP_CHOPPY,0,0.8968897129348747,0.8968897129348747,contemporaneous,0.8968897129348747
1m,SE_high_w,swing_noise_w,UP_CHOPPY,0,0.8957471436321541,0.8957471436321541,contemporaneous,0.8957471436321541
5s,price_velocity_1b,body,FLAT_CHOPPY,0,0.8956148390933214,0.8956148390933214,contemporaneous,0.8956148390933214
5s,vol_velocity_1b,vol_velocity_w,FLAT_CHOPPY,0,0.8950372952610254,0.8950372952610254,contemporaneous,0.8950372952610254
1h,price_velocity_w,price_sigma_w,UP_SMOOTH,-12,0.8950242207686963,0.8872957470571483,X_lags_Y,0.8950242207686963
1h,vol_mean_w,vol_sigma_w,UP_SMOOTH,0,0.893866144721346,0.893866144721346,contemporaneous,0.893866144721346
5m,price_sigma_w,SE_low_w,UP_SMOOTH,1,0.893587174670353,0.8929199357754436,X_leads_Y,0.893587174670353
5m,SE_high_w,SE_low_w,FLAT_CHOPPY,0,0.8930690460771057,0.8930690460771057,contemporaneous,0.8930690460771057
1h,z_se_w,z_low_w,DOWN_SMOOTH,0,0.891917675734516,0.891917675734516,contemporaneous,0.891917675734516
15m,SE_high_w,SE_low_w,UP_CHOPPY,0,0.8912799164571699,0.8912799164571699,contemporaneous,0.8912799164571699
5s,price_sigma_w,SE_low_w,UP_CHOPPY,0,0.8910307871698769,0.8910307871698769,contemporaneous,0.8910307871698769
5s,SE_high_w,SE_low_w,FLAT_CHOPPY,0,0.8909909966683642,0.8909909966683642,contemporaneous,0.8909909966683642
1m,price_sigma_w,SE_high_w,UP_SMOOTH,0,0.8909199362637215,0.8909199362637215,contemporaneous,0.8909199362637215
15m,price_sigma_w,SE_high_w,DOWN_SMOOTH,2,0.8890452670445533,0.8836370983162967,X_leads_Y,0.8890452670445533
1m,price_sigma_w,SE_low_w,UP_CHOPPY,0,0.8882997078004948,0.8882997078004948,contemporaneous,0.8882997078004948
1h,SE_low_w,swing_noise_w,UP_SMOOTH,-12,0.8860400873682288,0.8831720497858982,X_lags_Y,0.8860400873682288
5m,price_sigma_w,SE_low_w,DOWN_SMOOTH,0,0.8852233347786,0.8852233347786,contemporaneous,0.8852233347786
1m,SE_low_w,swing_noise_w,UP_CHOPPY,0,0.8847474298517657,0.8847474298517657,contemporaneous,0.8847474298517657
1m,price_sigma_w,SE_high_w,DOWN_SMOOTH,0,0.8835738846034702,0.8835738846034702,contemporaneous,0.8835738846034702
5s,vol_velocity_w,vol_accel_w,FLAT_SMOOTH,0,0.8827788319690191,0.8827788319690191,contemporaneous,0.8827788319690191
1m,vol_mean_w,vol_sigma_w,UP_SMOOTH,-1,0.8818981034842941,0.874498716597544,X_lags_Y,0.8818981034842941
5s,vol_velocity_1b,vol_velocity_w,FLAT_SMOOTH,0,0.8800910427838727,0.8800910427838727,contemporaneous,0.8800910427838727
1h,z_se_w,z_high_w,UP_CHOPPY,0,0.8784151495226885,0.8784151495226885,contemporaneous,0.8784151495226885
15m,vol_mean_w,vol_sigma_w,UP_SMOOTH,-8,0.8783604311844372,0.8441476234052432,X_lags_Y,0.8783604311844372
1m,z_se_w,z_low_w,DOWN_CHOPPY,0,0.8771064751189043,0.8771064751189043,contemporaneous,0.8771064751189043
5s,SE_high_w,SE_low_w,DOWN_CHOPPY,0,0.8770979918272805,0.8770979918272805,contemporaneous,0.8770979918272805
1m,z_high_w,z_low_w,DOWN_CHOPPY,0,0.8766412018054374,0.8766412018054374,contemporaneous,0.8766412018054374
5s,vol_accel_1b,vol_accel_w,DOWN_CHOPPY,0,0.8765046680400741,0.8765046680400741,contemporaneous,0.8765046680400741
1m,z_se_w,z_low_w,DOWN_SMOOTH,0,0.8764289206731362,0.8764289206731362,contemporaneous,0.8764289206731362
5s,vol_velocity_1b,vol_accel_w,FLAT_SMOOTH,0,0.8763801298642723,0.8763801298642723,contemporaneous,0.8763801298642723
1h,price_sigma_w,SE_low_w,DOWN_SMOOTH,0,0.8763455920581066,0.8763455920581066,contemporaneous,0.8763455920581066
15m,vol_mean_w,vol_sigma_w,UP_CHOPPY,-8,0.8762584357503213,0.8401715640113108,X_lags_Y,0.8762584357503213
5s,vol_velocity_w,vol_accel_w,FLAT_CHOPPY,0,0.8756962180317223,0.8756962180317223,contemporaneous,0.8756962180317223
1m,vol_mean_w,vol_sigma_w,FLAT_SMOOTH,0,0.87394438040099,0.87394438040099,contemporaneous,0.87394438040099
5m,SE_low_w,swing_noise_w,UP_CHOPPY,4,0.8736872731852845,0.8364599479632706,X_leads_Y,0.8736872731852845
1m,z_se_w,z_high_w,UP_SMOOTH,0,0.8724621290975031,0.8724621290975031,contemporaneous,0.8724621290975031
5s,vol_accel_1b,vol_accel_w,UP_CHOPPY,0,0.8718872844158971,0.8718872844158971,contemporaneous,0.8718872844158971
1h,price_mean_w,swing_noise_w,UP_CHOPPY,12,-0.8715568792108306,-0.8694249080221136,X_leads_Y,0.8715568792108306
5m,price_sigma_w,SE_high_w,DOWN_SMOOTH,0,0.8714967800167874,0.8714967800167874,contemporaneous,0.8714967800167874
1h,SE_high_w,SE_low_w,DOWN_CHOPPY,-12,0.8712760939313055,0.8222771441501957,X_lags_Y,0.8712760939313055
1m,z_se_w,z_low_w,FLAT_CHOPPY,0,0.8702928943156457,0.8702928943156457,contemporaneous,0.8702928943156457
1m,price_sigma_w,swing_noise_w,FLAT_CHOPPY,2,0.8698775903489598,0.8478189651895761,X_leads_Y,0.8698775903489598
1h,vwap_w,swing_noise_w,UP_CHOPPY,12,-0.869220202728105,-0.8671043998006501,X_leads_Y,0.869220202728105
1m,z_se_w,z_low_w,FLAT_SMOOTH,0,0.8687483557534755,0.8687483557534755,contemporaneous,0.8687483557534755
1m,z_se_w,z_high_w,UP_CHOPPY,0,0.8669407216877449,0.8669407216877449,contemporaneous,0.8669407216877449
1m,z_se_w,z_low_w,UP_CHOPPY,0,0.8668277101733377,0.8668277101733377,contemporaneous,0.8668277101733377
1h,price_sigma_w,SE_high_w,DOWN_SMOOTH,12,0.8667961653070656,0.8661242841168281,X_leads_Y,0.8667961653070656
5m,price_sigma_w,swing_noise_w,UP_CHOPPY,8,0.8664285673520298,0.8282197704374277,X_leads_Y,0.8664285673520298
1h,vol_mean_w,vol_sigma_w,DOWN_SMOOTH,-12,0.8661604848360167,0.8594571803717203,X_lags_Y,0.8661604848360167
1m,z_se_w,z_high_w,DOWN_CHOPPY,0,0.8661561763425194,0.8661561763425194,contemporaneous,0.8661561763425194
1m,z_se_w,z_high_w,FLAT_CHOPPY,0,0.865579404769723,0.865579404769723,contemporaneous,0.865579404769723
1m,z_se_w,z_high_w,FLAT_SMOOTH,0,0.8652399948517787,0.8652399948517787,contemporaneous,0.8652399948517787
1h,price_sigma_w,swing_noise_w,UP_SMOOTH,12,0.8651186994778213,0.8487628359206281,X_leads_Y,0.8651186994778213
1m,vol_mean_w,vol_sigma_w,DOWN_CHOPPY,-1,0.8642966680520462,0.8566155595961954,X_lags_Y,0.8642966680520462
15m,vol_mean_w,vol_sigma_w,DOWN_CHOPPY,-12,0.8641797520157112,0.8001449428154469,X_lags_Y,0.8641797520157112
1m,price_sigma_w,SE_low_w,FLAT_CHOPPY,0,0.8615104946368027,0.8615104946368027,contemporaneous,0.8615104946368027
1m,z_high_w,z_low_w,UP_CHOPPY,0,0.8611769922095865,0.8611769922095865,contemporaneous,0.8611769922095865
1m,z_se_w,z_low_w,UP_SMOOTH,0,0.8608772981768713,0.8608772981768713,contemporaneous,0.8608772981768713
1m,SE_high_w,swing_noise_w,UP_SMOOTH,1,0.8608366838189508,0.8592245647488164,X_leads_Y,0.8608366838189508
5s,price_sigma_w,SE_high_w,UP_CHOPPY,0,0.8608112746203472,0.8608112746203472,contemporaneous,0.8608112746203472
5s,SE_high_w,swing_noise_w,UP_CHOPPY,0,0.860663284270477,0.860663284270477,contemporaneous,0.860663284270477
5s,SE_high_w,SE_low_w,FLAT_SMOOTH,0,0.8606195641240516,0.8606195641240516,contemporaneous,0.8606195641240516
1m,price_sigma_w,swing_noise_w,UP_SMOOTH,1,0.8599322271120791,0.8341789251656886,X_leads_Y,0.8599322271120791
1h,z_se_w,z_high_w,DOWN_SMOOTH,12,0.8599313355100189,0.7369557086849896,X_leads_Y,0.8599313355100189
1m,SE_low_w,swing_noise_w,UP_SMOOTH,1,0.8599164965449865,0.8565625596887955,X_leads_Y,0.8599164965449865
1m,z_high_w,z_low_w,FLAT_CHOPPY,0,0.8598323167212046,0.8598323167212046,contemporaneous,0.8598323167212046
1m,z_se_w,z_high_w,DOWN_SMOOTH,0,0.8598041051413501,0.8598041051413501,contemporaneous,0.8598041051413501
1h,price_sigma_w,SE_low_w,FLAT_CHOPPY,0,0.8597509418295396,0.8597509418295396,contemporaneous,0.8597509418295396
1m,z_high_w,z_low_w,DOWN_SMOOTH,0,0.8597079268905558,0.8597079268905558,contemporaneous,0.8597079268905558
1h,price_sigma_w,SE_high_w,FLAT_CHOPPY,0,0.8593272550361678,0.8593272550361678,contemporaneous,0.8593272550361678
1h,price_sigma_w,swing_noise_w,DOWN_SMOOTH,0,0.8582850245252058,0.8582850245252058,contemporaneous,0.8582850245252058
5m,SE_high_w,SE_low_w,DOWN_CHOPPY,0,0.8581740283169517,0.8581740283169517,contemporaneous,0.8581740283169517
1m,price_sigma_w,SE_high_w,FLAT_CHOPPY,0,0.8580803376851671,0.8580803376851671,contemporaneous,0.8580803376851671
15m,z_se_w,z_low_w,DOWN_SMOOTH,0,0.857939771506426,0.857939771506426,contemporaneous,0.857939771506426
15m,price_sigma_w,SE_high_w,FLAT_CHOPPY,2,0.8577812244278806,0.856816751258423,X_leads_Y,0.8577812244278806
5s,price_sigma_w,SE_low_w,UP_SMOOTH,0,0.8565291050893385,0.8565291050893385,contemporaneous,0.8565291050893385
1m,vol_mean_w,vol_sigma_w,DOWN_SMOOTH,-1,0.855536673573311,0.8526689155521782,X_lags_Y,0.855536673573311
1h,z_se_w,z_low_w,UP_SMOOTH,12,0.8554090619548724,0.7744669648452919,X_leads_Y,0.8554090619548724
1m,z_high_w,z_low_w,FLAT_SMOOTH,0,0.8551895963517924,0.8551895963517924,contemporaneous,0.8551895963517924
1m,z_high_w,z_low_w,UP_SMOOTH,0,0.8549966744568546,0.8549966744568546,contemporaneous,0.8549966744568546
1h,SE_low_w,swing_noise_w,DOWN_SMOOTH,0,0.8545005285900488,0.8545005285900488,contemporaneous,0.8545005285900488
15m,price_sigma_w,SE_low_w,FLAT_CHOPPY,0,0.85422588207556,0.85422588207556,contemporaneous,0.85422588207556
5s,price_sigma_w,swing_noise_w,UP_SMOOTH,0,0.8530626830176526,0.8530626830176526,contemporaneous,0.8530626830176526
