t=0m: HOLD — fresh entry, ER10 0.84 (strong trend) plus a fresh PROPP-with fire; zero giveback, thesis fully intact.
t=1m: HOLD — ER10 still high (0.82) and giveback only 15% on a 68-72pt leg; one PROPP-against fire doesn't outweigh an otherwise-intact trend read.
t=2m: HOLD — ER10 slipping (0.62) and giveback up to 23%, worth watching, but still inside normal pullback range; only one aging against-fire, no confirmation to act.
t=3m: HOLD — ER10 down sharply to 0.39 (thesis weakening) but px is flat vs last frame (-13.00) and fires are mixed (HA-against vs PROPP-with); no clean directional read yet.
t=4m: HOLD — sharp fresh low (-26.00) with a fresh PROPP-against fire is a real warning, but selling into a brand-new low is bad timing; waiting for either confirmed breakdown or a bounce.
t=5m: HOLD — bounce off the low (-26.00 to -19.25) but px still deeply negative and ER10 stays weak (0.25); a single fresh with-fire isn't enough to call this a real reversal.
t=6m: HOLD — new episode low (-33.25) with a fresh PROPP-against fire confirms the pressure is still against us; still no bounce worth exiting into.
t=7m: HOLD — bounce off the low (-33.25 to -27.00) undercut by another fresh PROPP-against fire and px still deeply negative; still waiting on real confirmation.
t=8m: HOLD — strong continued bounce (-27.00 to -14.50) and ER10 has collapsed to 0.07, confirming the entry's trend-efficiency thesis is dead, but px is still negative with only one fresh with-fire; want either breakeven-plus price or a stronger fire confluence before exiting.
t=9m: EXIT — px fully recovered to +5.50 (through breakeven) with a 2-vs-1 favorable fire confluence (HA-with, PROPP-with vs KMDR-against), arriving right after ~9 minutes of confirmed ER10 collapse; taking the exit into strength rather than risk giving it back in what has become a chop regime.
SUMMARY: The exit was driven by a trend-death-then-bounce signature: ER10 collapsed from 0.84 at entry to near-zero within about eight minutes and never recovered, telling me the trend that justified the long was gone, so continued holding was just noise exposure. Rather than sell into any of the fresh lows along the way, I waited for the market to hand back a clean bounce — price back through breakeven with a 2-to-1 favorable fire confluence — and exited into that strength. Next time I'd watch for the ER10 collapse to confirm thesis death even faster and weight the giveback-on-the-adverse-swing more heavily while waiting for that confirmation.
